metric,value
2026_model_vs_2022_actual_l1,0.596525785454018
2026_model_vs_2022_actual_total_variation,0.298262892727009
2026_model_vs_2022_actual_l2,0.14584865036078629
2022_h2h_model_vs_2022_actual_l1,0.524474379598532
2022_h2h_model_vs_2022_actual_total_variation,0.262237189799266
2022_h2h_model_vs_2022_actual_l2,0.1337756593561164
