score_bucket,actual_2022_group_frequency,model_2026_probability,model_2022_h2h_only_probability,model_2026_minus_actual,model_2022_h2h_minus_actual
0-0,0.125,0.06829971611282003,0.09884503006022143,-0.05670028388717997,-0.026154969939778575
0-1,0.0625,0.08367400079727925,0.10289682285116317,0.021174000797279255,0.04039682285116317
0-2,0.125,0.05977406661907959,0.06400444074131814,-0.06522593338092042,-0.06099555925868186
0-3,0.020833333333333332,0.03279678336382528,0.03118500599045646,0.011963450030491946,0.01035167265712313
0-4,0.0,0.015146578574734336,0.01310683613109697,0.015146578574734336,0.01310683613109697
1-0,0.125,0.09645486307621574,0.12060816651346593,-0.028545136923784256,-0.004391833486534075
1-1,0.0625,0.10251427203702429,0.10793171806906558,0.04001427203702429,0.04543171806906558
1-2,0.10416666666666667,0.06307480482289989,0.05788184412192546,-0.041091861843766786,-0.046284822544741214
1-3,0.020833333333333332,0.030112703886644686,0.02485211280549316,0.009279370553311354,0.004018779472159829
1-4,0.0,0.012390936832914775,0.009450399934038348,0.012390936832914775,0.009450399934038348
2-0,0.10416666666666667,0.0778421894347098,0.08510583702350609,-0.02632447723195687,-0.01906082964316058
2-1,0.0625,0.07299260042275237,0.06629811406594174,0.010492600422752366,0.0037981140659417434
2-2,0.0,0.038991037379622936,0.03043143724378565,0.038991037379622936,0.03043143724378565
2-3,0.041666666666666664,0.01605730823476595,0.011227773661855227,-0.025609358431900715,-0.030438893004811438
2-4,0.020833333333333332,0.005760162457940383,0.003752468884581349,-0.01507317087539295,-0.017080864448751985
3-0,0.0,0.047240885406493474,0.04567182051284007,0.047240885406493474,0.04567182051284007
3-1,0.0,0.039650587226205763,0.031674121664478444,0.039650587226205763,0.031674121664478444
3-2,0.020833333333333332,0.018681240417924783,0.012594821888503879,-0.002152092915408549,-0.008238511444829453
3-3,0.020833333333333332,0.006683613429523276,0.003953034867115557,-0.014149719903810056,-0.016880298466217775
3-4,0.0,0.0020713649490164848,0.0011294910198935842,0.0020713649490164848,0.0011294910198935842
4-0,0.0,0.02412279268240262,0.020622994690486486,0.02412279268240262,0.020622994690486486
4-1,0.041666666666666664,0.018275809333778262,0.013044837104468836,-0.023390857332888402,-0.028621829562197828
4-2,0.0,0.007695940866829878,0.004607957086083048,0.007695940866829878,0.004607957086083048
4-3,0.0,0.0024271606041740795,0.0012448816101412613,0.0024271606041740795,0.0012448816101412613
4-4,0.0,0.0006538337390441545,0.00030014279096869385,0.0006538337390441545,0.00030014279096869385
other,0.041666666666666664,0.05661474729137803,0.03757788866710539,0.014948080624711368,-0.004088777999561276
