from_snapshot,to_snapshot,from_timestamp,to_timestamp,event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker,market,outcome,point,from_price,to_price,price_change,abs_price_change,price_pct_change,from_implied_probability,to_implied_probability,implied_probability_change,abs_implied_probability_change
data/odds_snapshots/2026/06/world_cup_first_round_odds_20260603T115319Z.csv,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260605T235512Z.csv,20260603T115319Z,20260605T235512Z,c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,marathonbet,Marathon Bet,h2h,Cape Verde,,33.0,27.0,-6.0,6.0,-0.18181818181818182,0.030303030303030304,0.037037037037037035,0.006734006734006731,0.006734006734006731
data/odds_snapshots/2026/06/world_cup_first_round_odds_20260603T115319Z.csv,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260605T235512Z.csv,20260603T115319Z,20260605T235512Z,c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,onexbet,1xBet,h2h,Cape Verde,,33.0,27.0,-6.0,6.0,-0.18181818181818182,0.030303030303030304,0.037037037037037035,0.006734006734006731,0.006734006734006731
data/odds_snapshots/2026/06/world_cup_first_round_odds_20260603T115319Z.csv,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260605T235512Z.csv,20260603T115319Z,20260605T235512Z,c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,sport888,888sport,h2h,Cape Verde,,29.0,23.0,-6.0,6.0,-0.20689655172413793,0.034482758620689655,0.043478260869565216,0.008995502248875561,0.008995502248875561
data/odds_snapshots/2026/06/world_cup_first_round_odds_20260603T115319Z.csv,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260605T235512Z.csv,20260603T115319Z,20260605T235512Z,c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,williamhill,William Hill,h2h,Cape Verde,,29.0,23.0,-6.0,6.0,-0.20689655172413793,0.034482758620689655,0.043478260869565216,0.008995502248875561,0.008995502248875561
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260523T203530Z.csv,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,20260523T203530Z,20260526T094844Z,54697f453437ab26276d773be1d72e9b,2026-06-28T02:00:00Z,Jordan,Argentina,marathonbet,Marathon Bet,h2h,Jordan,,23.0,17.25,-5.75,5.75,-0.25,0.043478260869565216,0.057971014492753624,0.014492753623188408,0.014492753623188408
data/odds_snapshots/2026/06/world_cup_first_round_odds_20260603T115319Z.csv,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260605T235512Z.csv,20260603T115319Z,20260605T235512Z,54697f453437ab26276d773be1d72e9b,2026-06-28T02:00:00Z,Jordan,Argentina,betonlineag,BetOnline.ag,h2h,Jordan,,19.0,13.5,-5.5,5.5,-0.2894736842105263,0.05263157894736842,0.07407407407407407,0.021442495126705652,0.021442495126705652
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260602T205014Z.csv,20260526T094844Z,20260602T205014Z,d1279ce7f33136a33e99ad442fc855e8,2026-06-24T22:00:00Z,Morocco,Haiti,marathonbet,Marathon Bet,h2h,Haiti,,9.4,14.5,5.1,5.1,0.5425531914893617,0.10638297872340426,0.06896551724137931,-0.03741746148202495,0.03741746148202495
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260522T225045Z.csv,20260521T212649Z,20260522T225045Z,73529a242e319a86bf3d00ddb4accc37,2026-06-21T16:00:00Z,Spain,Saudi Arabia,tipico_de,Tipico,h2h,Saudi Arabia,,20.0,25.0,5.0,5.0,0.25,0.05,0.04,-0.010000000000000002,0.010000000000000002
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260522T225045Z.csv,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260523T203530Z.csv,20260522T225045Z,20260523T203530Z,c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,betfair_ex_eu,Betfair,h2h,Cape Verde,,27.0,32.0,5.0,5.0,0.18518518518518517,0.037037037037037035,0.03125,-0.005787037037037035,0.005787037037037035
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260522T225045Z.csv,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260523T203530Z.csv,20260522T225045Z,20260523T203530Z,c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,tipico_de,Tipico,h2h,Cape Verde,,20.0,25.0,5.0,5.0,0.25,0.05,0.04,-0.010000000000000002,0.010000000000000002
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260523T203530Z.csv,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,20260523T203530Z,20260526T094844Z,73529a242e319a86bf3d00ddb4accc37,2026-06-21T16:00:00Z,Spain,Saudi Arabia,marathonbet,Marathon Bet,h2h,Saudi Arabia,,35.0,30.0,-5.0,5.0,-0.14285714285714285,0.02857142857142857,0.03333333333333333,0.004761904761904762,0.004761904761904762
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260523T203530Z.csv,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,20260523T203530Z,20260526T094844Z,73529a242e319a86bf3d00ddb4accc37,2026-06-21T16:00:00Z,Spain,Saudi Arabia,onexbet,1xBet,h2h,Saudi Arabia,,35.0,30.0,-5.0,5.0,-0.14285714285714285,0.02857142857142857,0.03333333333333333,0.004761904761904762,0.004761904761904762
data/odds_snapshots/2026/05/world_cup_first_round_odds_20260523T203530Z.csv,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,20260523T203530Z,20260526T094844Z,c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,coolbet,Coolbet,h2h,Cape Verde,,30.0,35.0,5.0,5.0,0.16666666666666666,0.03333333333333333,0.02857142857142857,-0.004761904761904762,0.004761904761904762
