match,commence_time,logged_at_utc,submission_id,score,actual_score,predicted_probability,hit
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,4-2,2-1,0.010558155602257655,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,4-3,2-1,0.005758993964867811,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-0,2-1,0.005279077801128827,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-1,2-1,0.005758993964867811,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-2,2-1,0.003959308350846621,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-3,2-1,0.0021116311204515312,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-4,2-1,0.0012669786722709186,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-0,2-1,0.09745989786699374,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-1,2-1,0.1292835379868284,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-2,2-1,0.05279077801128827,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,3-3,2-1,0.012669786722709186,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,4-4,2-1,0.002815508160602041,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-1,2-1,0.0873778394669599,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-2,2-1,0.05508602922917037,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-2,2-1,0.06668308801425887,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-3,2-1,0.023462568005017007,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-3,2-1,0.02879496982433906,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-3,2-1,0.018632039298101744,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-4,2-1,0.010558155602257655,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-4,2-1,0.011517987929735622,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-4,2-1,0.009745989786699374,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,3-4,2-1,0.005279077801128827,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-5,2-1,0.0042232622409030625,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-5,2-1,0.004872994893349687,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-5,2-1,0.0035193852007525516,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,3-5,2-1,0.0018099695318155979,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,4-5,2-1,0.0012669786722709186,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-0,1-1,0.11403279130087114,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-0,1-1,0.09460498241257458,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-1,1-1,0.08239788790772624,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-0,1-1,0.053215302607073196,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-1,1-1,0.04730249120628729,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-2,1-1,0.022020125216719946,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-0,1-1,0.022806558260174227,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-1,1-1,0.02128612104282928,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-2,1-1,0.011610611477906879,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-3,1-1,0.005805305738953439,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-0,1-1,0.01064306052141464,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-1,1-1,0.01064306052141464,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-2,1-1,0.006385836312848784,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-3,1-1,0.0025543345251395136,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-4,1-1,0.0012771672625697568,0
