bin,bin_low,bin_high,n,hits,avg_predicted_probability,observed_hit_rate,wilson_low,wilson_high
0.00-0.10,0.0,0.1,15,1,0.07070269410060982,0.06666666666666667,0.011866895493268553,0.2981652987378003
0.10-0.20,0.1,0.2,35,6,0.1605184362534744,0.17142857142857143,0.08102640053701589,0.3268228229904496
0.20-0.30,0.2,0.3,43,9,0.23879521710831855,0.20930232558139536,0.11422834220995602,0.3520564271073644
0.30-0.40,0.3,0.4,7,2,0.3295331654249346,0.2857142857142857,0.08221892400405678,0.6410655481673808
0.40-0.50,0.4,0.5,9,6,0.4587734737384823,0.6666666666666666,0.3542021355803963,0.879416181613089
0.50-0.60,0.5,0.6,15,10,0.5620393095616393,0.6666666666666666,0.41713547738519763,0.8482367556028527
0.60-0.70,0.6,0.7,13,9,0.6386025361783906,0.6923076923076923,0.42369343180549035,0.8731929634428948
0.70-0.80,0.7,0.8,10,6,0.7452913501988403,0.6,0.31267376973365824,0.8318196702937638
