match,commence_time,logged_at_utc,submission_id,outcome,actual_outcome,predicted_probability,hit
Spain vs Cape Verde,2026-06-15T16:01:00Z,2026-06-14T21:24:17+00:00,conversation-spain-cabo-verde-20260614,draw,draw,0.0760734488987166,1
Spain vs Cape Verde,2026-06-15T16:01:00Z,2026-06-14T21:24:17+00:00,conversation-spain-cabo-verde-20260614,away,draw,0.05460565229859996,0
Belgium vs Egypt,2026-06-15T19:00:00Z,2026-06-14T21:26:09+00:00,conversation-belgium-egypt-20260614,home,draw,0.5680137197958582,0
Belgium vs Egypt,2026-06-15T19:00:00Z,2026-06-14T21:26:09+00:00,conversation-belgium-egypt-20260614,draw,draw,0.23141965941711623,1
Belgium vs Egypt,2026-06-15T19:00:00Z,2026-06-14T21:26:09+00:00,conversation-belgium-egypt-20260614,away,draw,0.18733285393392068,0
Saudi Arabia vs Uruguay,2026-06-15T22:03:00Z,2026-06-14T21:27:22+00:00,conversation-saudi-arabia-uruguay-20260614,home,draw,0.16183323689299103,0
Saudi Arabia vs Uruguay,2026-06-15T22:03:00Z,2026-06-14T21:27:22+00:00,conversation-saudi-arabia-uruguay-20260614,draw,draw,0.2112798302754502,1
Saudi Arabia vs Uruguay,2026-06-15T22:03:00Z,2026-06-14T21:27:22+00:00,conversation-saudi-arabia-uruguay-20260614,away,draw,0.6123202534901127,0
Iran vs New Zealand,2026-06-16T01:03:00Z,2026-06-14T21:28:17+00:00,conversation-iran-new-zealand-20260614,home,draw,0.493395872820232,0
Iran vs New Zealand,2026-06-16T01:03:00Z,2026-06-14T21:28:17+00:00,conversation-iran-new-zealand-20260614,draw,draw,0.2624389289868448,1
Iran vs New Zealand,2026-06-16T01:03:00Z,2026-06-14T21:28:17+00:00,conversation-iran-new-zealand-20260614,away,draw,0.23615212047237538,0
France vs Senegal,2026-06-16T19:02:00Z,2026-06-14T21:33:49+00:00,conversation-france-senegal-20260614,home,home,0.618448194009635,1
France vs Senegal,2026-06-16T19:02:00Z,2026-06-14T21:33:49+00:00,conversation-france-senegal-20260614,draw,home,0.20646515964528833,0
France vs Senegal,2026-06-16T19:02:00Z,2026-06-14T21:33:49+00:00,conversation-france-senegal-20260614,away,home,0.15823830026126132,0
