match,commence_time,logged_at_utc,submission_id,score,actual_score,displayed_probability_pct,hit
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-1,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-2,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-3,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,5-4,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-0,2-1,11.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-1,2-1,34.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-2,2-1,11.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,3-3,2-1,1.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,4-4,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-1,2-1,4.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-2,2-1,2.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-2,2-1,11.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-3,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-3,2-1,2.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-3,2-1,1.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-4,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-4,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-4,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,3-4,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,0-5,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,1-5,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,2-5,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,3-5,2-1,0.0,0
South Korea vs Czech Republic,2026-06-12T02:00:00Z,2026-06-11T00:02:00+00:00,conversation-03-korea,4-5,2-1,1.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-0,1-1,10.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-0,1-1,11.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-1,1-1,23.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-0,1-1,2.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-1,1-1,4.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-2,1-1,1.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-0,1-1,1.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-1,1-1,1.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-2,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-3,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-0,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-1,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-2,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-3,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,5-4,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,0-0,1-1,19.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-1,1-1,13.0,1
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-2,1-1,3.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-3,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-4,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,0-1,1-1,2.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,0-2,1-1,1.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-2,1-1,6.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,0-3,1-1,0.0,0
