event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker,bookmaker_last_update,market,market_last_update,outcome,price,point
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,coolbet,Coolbet,2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Japan,1.92,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,coolbet,Coolbet,2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Sweden,4.55,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,coolbet,Coolbet,2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Draw,3.55,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,coolbet,Coolbet,2026-06-25T00:23:00Z,totals,2026-06-25T00:23:00Z,Over,1.75,2.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,coolbet,Coolbet,2026-06-25T00:23:00Z,totals,2026-06-25T00:23:00Z,Under,2.15,2.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,winamax_de,Winamax (DE),2026-06-25T00:23:12Z,h2h,2026-06-25T00:23:12Z,Japan,1.84,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,winamax_de,Winamax (DE),2026-06-25T00:23:12Z,h2h,2026-06-25T00:23:12Z,Sweden,4.3,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,winamax_de,Winamax (DE),2026-06-25T00:23:12Z,h2h,2026-06-25T00:23:12Z,Draw,3.55,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,tipico_de,Tipico,2026-06-25T00:22:59Z,h2h,2026-06-25T00:22:59Z,Japan,1.8,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,tipico_de,Tipico,2026-06-25T00:22:59Z,h2h,2026-06-25T00:22:59Z,Sweden,4.5,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,tipico_de,Tipico,2026-06-25T00:22:59Z,h2h,2026-06-25T00:22:59Z,Draw,3.6,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,winamax_fr,Winamax (FR),2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Japan,1.82,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,winamax_fr,Winamax (FR),2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Sweden,4.2,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,winamax_fr,Winamax (FR),2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Draw,3.45,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,gtbets,GTbets,2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Japan,1.88,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,gtbets,GTbets,2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Sweden,4.18,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,gtbets,GTbets,2026-06-25T00:23:00Z,h2h,2026-06-25T00:23:00Z,Draw,3.35,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,gtbets,GTbets,2026-06-25T00:23:00Z,spreads,2026-06-25T00:23:00Z,Japan,1.89,-0.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,gtbets,GTbets,2026-06-25T00:23:00Z,spreads,2026-06-25T00:23:00Z,Sweden,1.92,0.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,gtbets,GTbets,2026-06-25T00:23:00Z,totals,2026-06-25T00:23:00Z,Over,1.79,2.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,gtbets,GTbets,2026-06-25T00:23:00Z,totals,2026-06-25T00:23:00Z,Under,2.08,2.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,unibet_fr,Unibet (FR),2026-06-25T00:23:22Z,h2h,2026-06-25T00:23:22Z,Japan,1.85,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,unibet_fr,Unibet (FR),2026-06-25T00:23:22Z,h2h,2026-06-25T00:23:22Z,Sweden,4.5,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,unibet_fr,Unibet (FR),2026-06-25T00:23:22Z,h2h,2026-06-25T00:23:22Z,Draw,3.6,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,pinnacle,Pinnacle,2026-06-25T00:23:34Z,h2h,2026-06-25T00:23:34Z,Japan,1.88,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,pinnacle,Pinnacle,2026-06-25T00:23:34Z,h2h,2026-06-25T00:23:34Z,Sweden,4.59,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,pinnacle,Pinnacle,2026-06-25T00:23:34Z,h2h,2026-06-25T00:23:34Z,Draw,3.52,
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,pinnacle,Pinnacle,2026-06-25T00:23:34Z,spreads,2026-06-25T00:23:34Z,Japan,1.88,-0.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,pinnacle,Pinnacle,2026-06-25T00:23:34Z,spreads,2026-06-25T00:23:34Z,Sweden,2.03,0.5
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,pinnacle,Pinnacle,2026-06-25T00:23:34Z,totals,2026-06-25T00:23:34Z,Over,1.99,2.75
