event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker,bookmaker_last_update,market,market_last_update,outcome,price,point
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,coolbet,Coolbet,2026-06-24T12:02:02Z,h2h,2026-06-24T12:02:01Z,Bosnia & Herzegovina,1.41,
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,coolbet,Coolbet,2026-06-24T12:02:02Z,h2h,2026-06-24T12:02:01Z,Qatar,7.7,
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,coolbet,Coolbet,2026-06-24T12:02:02Z,h2h,2026-06-24T12:02:01Z,Draw,5.4,
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,coolbet,Coolbet,2026-06-24T12:02:02Z,totals,2026-06-24T12:02:01Z,Over,1.91,3.0
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,coolbet,Coolbet,2026-06-24T12:02:02Z,totals,2026-06-24T12:02:01Z,Under,1.95,3.0
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,unibet_fr,Unibet (FR),2026-06-24T12:01:48Z,h2h,2026-06-24T12:01:48Z,Bosnia & Herzegovina,1.37,
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,unibet_fr,Unibet (FR),2026-06-24T12:01:48Z,h2h,2026-06-24T12:01:48Z,Qatar,8.2,
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,unibet_fr,Unibet (FR),2026-06-24T12:01:48Z,h2h,2026-06-24T12:01:48Z,Draw,5.5,
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,tipico_de,Tipico,2026-06-24T12:01:13Z,h2h,2026-06-24T12:01:13Z,Bosnia & Herzegovina,1.35,
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,tipico_de,Tipico,2026-06-24T12:01:13Z,h2h,2026-06-24T12:01:13Z,Qatar,8.0,
