from_snapshot_id,to_snapshot_id,home_team,away_team,previous_optimal_pick,new_optimal_pick,previous_exact_score,new_exact_score,previous_expected_points,new_expected_points,expected_points_delta,abs_expected_points_delta,previous_edge,new_edge,edge_delta,decision_changed,significant_expectancy_change,previous_home_probability,new_home_probability,previous_draw_probability,new_draw_probability,previous_away_probability,new_away_probability
20260521T212649Z,20260522T225045Z,Mexico,South Africa,Mexico,Mexico,1-0,1-0,35.99970133127312,38.74288712723387,2.7431857959607484,2.7431857959607484,5.635011797803429,8.726352934765313,3.0913411369618835,False,True,0.6353533984102403,0.6371930204207166,0.22694723431158204,0.22560716863036467,0.13769936727817766,0.13719981094891884
20260521T212649Z,20260522T225045Z,Argentina,Algeria,Argentina,Argentina,1-0,1-0,33.80819288034957,36.074386328087606,2.2661934477380328,2.2661934477380328,4.250952973972677,6.766318069558867,2.5153650955861906,False,True,0.670152845458703,0.670083999274847,0.2140602197189801,0.21410611717488412,0.11578693482231688,0.11580988355026887
20260521T212649Z,20260522T225045Z,Brazil,Morocco,Brazil,Brazil,1-0,1-0,36.632048592236345,38.83297546482602,2.200926872589676,2.200926872589676,5.252947476963154,7.4879656078740915,2.2350181309109374,False,True,0.5846280653483127,0.5844737997998518,0.2410098387721976,0.24105700407252814,0.1743620958794897,0.17446919612762013
20260521T212649Z,20260522T225045Z,England,Croatia,England,England,1-0,1-0,36.742549519205404,38.83662987999746,2.0940803607920557,2.0940803607920557,4.916093264759734,7.123297604875237,2.207204340115503,False,True,0.5497770000003278,0.5503512058771193,0.2501286673476051,0.24965710255280635,0.20009433265206705,0.19999169157007426
20260521T212649Z,20260522T225045Z,Ghana,Panama,Ghana,Ghana,1-0,2-0,39.466575736387014,40.56033420609057,1.093758469703559,1.093758469703559,7.429754186727266,8.537964383929953,1.1082101972026877,True,True,0.4855929520271663,0.48581839911058805,0.2642935114822442,0.26444311581400753,0.2501135364905894,0.24973848507540444
20260521T212649Z,20260522T225045Z,United States,Paraguay,United States,United States,1-0,2-0,39.27851450313392,40.28898426681341,1.0104697636794882,1.0104697636794882,6.711827277792892,7.595129995813572,0.8833027180206798,True,True,0.4760464178945442,0.4778170118637133,0.26881770301416424,0.26892390466603994,0.2551358790912916,0.2532590834702468
20260521T212649Z,20260522T225045Z,Netherlands,Japan,Netherlands,Netherlands,2-0,1-0,39.866312503717815,40.55313051188871,0.6868180081708957,0.6868180081708957,7.051047011477316,7.333835278335357,0.2827882668580415,True,False,0.472673308469653,0.47267145135411104,0.26300021683350666,0.26306819422986916,0.26432647469684034,0.2642603544160198
20260521T212649Z,20260522T225045Z,Germany,Curacao,Germany,Germany,2-0,4-1,19.88982207402928,19.52169087416065,-0.3681311998686283,0.3681311998686283,9.115137782615163,8.786095071961455,-0.3290427106537077,True,False,0.9227023373330012,0.92225168881991,0.05741538843623016,0.05765565715696574,0.019882274230768587,0.02009265402312416
20260523T203530Z,20260526T094844Z,England,Croatia,England,England,1-0,1-0,38.90714054659052,36.253153275247385,-2.6539872713431336,2.6539872713431336,7.197569141865699,4.186417943442628,-3.0111511984230717,False,True,0.5507789572092647,0.5472877454644012,0.24952904635043827,0.252372023452353,0.19969199644029698,0.2003402310832459
20260526T094844Z,20260602T205014Z,Qatar,Switzerland,Switzerland,Switzerland,0-2,0-2,29.684674556549748,31.18747769088261,1.5028031343328614,1.5028031343328614,3.891931050903903,8.39348798326014,4.501556932356237,False,True,0.0948771980697049,0.07629519272133452,0.173146476556017,0.15286809464464302,0.731976325374278,0.7708367126340224
20260526T094844Z,20260602T205014Z,Mexico,South Africa,Mexico,Mexico,1-0,1-0,38.975213266750714,40.361599372493515,1.386386105742801,1.386386105742801,9.162147412420168,11.671084349204236,2.5089369367840675,False,True,0.6415371088479468,0.6663531372499512,0.22407169907133928,0.21560192009454365,0.1343911920807139,0.11804494265550519
20260526T094844Z,20260602T205014Z,Iraq,Norway,Norway,Norway,0-2,0-2,27.71979311529192,28.912589378308358,1.1927962630164366,1.1927962630164366,2.667076087317131,6.974329193719356,4.307253106402225,False,True,0.08612786003625453,0.07374687178616621,0.1650240578731391,0.14417012420409336,0.7488480820906064,0.7820830040097404
20260526T094844Z,20260602T205014Z,Saudi Arabia,Uruguay,Uruguay,Uruguay,0-1,0-1,36.71283952241412,37.835420152561056,1.1225806301469348,1.1225806301469348,6.664335860033667,8.793637305148778,2.129301445115111,False,True,0.1505542538491063,0.136790534713739,0.22640548785974854,0.21886319498273313,0.6230402582911452,0.6443462703035279
20260526T094844Z,20260602T205014Z,United States,Paraguay,United States,United States,2-0,1-0,40.24273511082,39.519156804975964,-0.7235783058440362,0.7235783058440362,7.5566338494994625,6.033276476570052,-1.5233573729294108,True,False,0.477227948636552,0.47878235736233665,0.2696060434124381,0.2770433088822396,0.2531660079510099,0.24417433375542377
