snapshot_id,snapshot_file,date,time,home_team,away_team,matched_home_team,matched_away_team,home_probability,draw_probability,away_probability,home_points,draw_points,away_points,home_expected_points,draw_expected_points,away_expected_points,home_best_exact_score,draw_best_exact_score,away_best_exact_score,home_best_exact_score_probability,draw_best_exact_score_probability,away_best_exact_score_probability,home_best_exact_score_model_conditional_probability,draw_best_exact_score_model_conditional_probability,away_best_exact_score_model_conditional_probability,home_best_exact_score_conditional_probability,draw_best_exact_score_conditional_probability,away_best_exact_score_conditional_probability,home_best_exact_bonus_label,draw_best_exact_bonus_label,away_best_exact_bonus_label,home_best_exact_bonus_points,draw_best_exact_bonus_points,away_best_exact_bonus_points,home_exact_bonus_expected_points,draw_exact_bonus_expected_points,away_exact_bonus_expected_points,home_expected_boost_from_exact_score,draw_expected_boost_from_exact_score,away_expected_boost_from_exact_score,home_total_expected_points,draw_total_expected_points,away_total_expected_points,optimal_pick,optimal_exact_score,optimal_exact_bonus_label,optimal_pick_probability,optimal_pick_points,optimal_exact_score_probability,optimal_exact_score_model_conditional_probability,optimal_exact_score_conditional_probability,optimal_exact_bonus_points,optimal_base_expected_points,optimal_exact_bonus_expected_points,optimal_expected_points,second_best_pick,second_best_expected_points,expected_points_edge,base_only_optimal_pick,strategy_changed_by_exact_bonus,completed,actual_score,outcome_correct,exact_score_correct,realized_base_points,realized_exact_bonus_points,realized_points,realized_minus_expected_points
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-11,21:00,Mexico,South Africa,Mexico,South Africa,0.6353533984102403,0.22694723431158204,0.13769936727817766,49.0,125.0,148.0,31.132316522101775,28.368404288947755,20.379506357170293,1-0,0-0,0-1,0.16224616030571154,0.09981426222609703,0.05314778718009317,0.2590143021136126,0.4532629955191512,0.34649054771777354,0.21435614466096845,0.5682951156244247,0.2699586726224744,Rare,Exact,Rare,30.0,20.0,30.0,4.867384809171346,1.9962852445219406,1.5944336154027952,4.867384809171346,1.9962852445219406,1.5944336154027952,35.99970133127312,30.364689533469694,21.97393997257309,Mexico,1-0,Rare,0.6353533984102403,49.0,0.16224616030571154,0.2590143021136126,0.21435614466096845,30.0,31.132316522101775,4.867384809171346,35.99970133127312,Draw,30.364689533469694,5.635011797803429,Mexico,False,True,2-0,True,False,49.0,0.0,49.0,13.000298668726877
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-12,04:00,South Korea,Czechia,South Korea,Czech Republic,0.3563126993079566,0.29853593013067,0.3451513705613734,96.0,107.0,91.0,34.206019133563835,31.943344523981686,31.40877472108498,2-0,0-0,0-1,0.07476222687463281,0.13425397638470973,0.10998859396741179,0.21324011337390358,0.47559439605623327,0.2996048847737465,0.1975387762071719,0.5901064768109054,0.23725863222456556,Tres rare,Exact,Rare,50.0,20.0,30.0,3.7381113437316404,2.6850795276941946,3.2996578190223538,3.7381113437316404,2.6850795276941946,3.2996578190223538,37.944130477295474,34.62842405167588,34.70843254010734,South Korea,2-0,Tres rare,0.3563126993079566,96.0,0.07476222687463281,0.21324011337390358,0.1975387762071719,50.0,34.206019133563835,3.7381113437316404,37.944130477295474,Czechia,34.70843254010734,3.235697937188135,South Korea,False,True,2-1,True,False,96.0,0.0,96.0,58.055869522704526
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-12,21:00,Canada,Bosnia,Canada,Bosnia & Herzegovina,0.5273169788808805,0.25314440101509655,0.21953862010402297,65.0,117.0,125.0,34.27560362725723,29.617894918766297,27.442327513002873,1-0,1-1,0-2,0.1353929905230496,0.10425472158466395,0.047308076060865054,0.26021838477058973,0.4384352383208969,0.19556342361861878,0.2146225616660651,0.3489321098085952,0.17180841547925163,Rare,Exact,Tres rare,30.0,20.0,50.0,4.0617897156914875,2.085094431693279,2.3654038030432525,4.0617897156914875,2.085094431693279,2.3654038030432525,38.33739334294872,31.702989350459575,29.807731316046127,Canada,1-0,Rare,0.5273169788808805,65.0,0.1353929905230496,0.26021838477058973,0.2146225616660651,30.0,34.27560362725723,4.0617897156914875,38.33739334294872,Draw,31.702989350459575,6.634403992489148,Canada,False,True,1-1,False,False,0.0,0.0,0.0,-38.33739334294872
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-13,03:00,United States,Paraguay,USA,Paraguay,0.4760464178945442,0.26881770301416424,0.2551358790912916,74.0,113.0,115.0,35.227434924196274,30.37640044060056,29.340626095498532,1-0,1-1,0-2,0.13503598596458818,0.10951433923702351,0.058173800316850426,0.2889338411900095,0.4339415381945678,0.20756395443988185,0.23785829293223082,0.3423675588894356,0.18295308380499437,Rare,Exact,Tres rare,30.0,20.0,50.0,4.051079578937646,2.1902867847404703,2.908690015842521,4.051079578937646,2.1902867847404703,2.908690015842521,39.27851450313392,32.56668722534103,32.24931611134105,United States,1-0,Rare,0.4760464178945442,74.0,0.13503598596458818,0.2889338411900095,0.23785829293223082,30.0,35.227434924196274,4.051079578937646,39.27851450313392,Draw,32.56668722534103,6.711827277792892,United States,False,True,4-1,True,False,74.0,0.0,74.0,34.72148549686608
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-13,21:00,Qatar,Switzerland,Qatar,Switzerland,0.09470954747940233,0.1720473730612256,0.7332430794593721,172.0,141.0,33.0,16.2900421664572,24.25867960163281,24.197021622159276,1-0,1-1,0-2,0.03654895082242189,0.06883001053480335,0.18237869181970032,0.3929659494927619,0.4401852412937391,0.24296877330059377,0.316523167444498,0.3517104500802112,0.21917022858558685,Exact,Exact,Rare,20.0,20.0,30.0,0.7309790164484378,1.376600210696067,5.47136075459101,0.7309790164484378,1.376600210696067,5.47136075459101,17.02102118290564,25.63527981232888,29.668382376750287,Switzerland,0-2,Rare,0.7332430794593721,33.0,0.18237869181970032,0.24296877330059377,0.21917022858558685,30.0,24.197021622159276,5.47136075459101,29.668382376750287,Draw,25.63527981232888,4.033102564421409,Draw,True,True,1-1,False,False,0.0,0.0,0.0,-29.668382376750287
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-14,00:00,Brazil,Morocco,Brazil,Morocco,0.5846280653483127,0.2410098387721976,0.1743620958794897,55.0,122.0,140.0,32.1545435941572,29.403200330208104,24.410693423128556,1-0,1-1,0-2,0.14925016660263837,0.09879503925325422,0.036301762758210246,0.2583747647182671,0.4303489665056801,0.18830623109824454,0.2134800377494895,0.3375149154537736,0.16504243651272316,Rare,Exact,Tres rare,30.0,20.0,50.0,4.4775049980791515,1.9759007850650845,1.8150881379105124,4.4775049980791515,1.9759007850650845,1.8150881379105124,36.632048592236345,31.37910111527319,26.225781561039067,Brazil,1-0,Rare,0.5846280653483127,55.0,0.14925016660263837,0.2583747647182671,0.2134800377494895,30.0,32.1545435941572,4.4775049980791515,36.632048592236345,Draw,31.37910111527319,5.252947476963154,Brazil,False,True,1-1,False,False,0.0,0.0,0.0,-36.632048592236345
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-14,03:00,Haiti,Scotland,Haiti,Scotland,0.1358343260340372,0.2012638243853548,0.6629018495806079,154.0,131.0,44.0,20.918486209241728,26.36556099448148,29.16768138154675,1-0,1-1,0-1,0.04752763188246731,0.08084749117189978,0.1044910087792289,0.3585454337139446,0.4442424389438263,0.15244066554489996,0.2895551406768851,0.35904784229302417,0.12211556304859786,Rare,Exact,Tres rare,30.0,20.0,50.0,1.4258289564740192,1.6169498234379955,5.224550438961445,1.4258289564740192,1.6169498234379955,5.224550438961445,22.34431516571575,27.982510817919476,34.392231820508194,Scotland,0-1,Tres rare,0.6629018495806079,44.0,0.1044910087792289,0.15244066554489996,0.12211556304859786,50.0,29.16768138154675,5.224550438961445,34.392231820508194,Draw,27.982510817919476,6.409721002588718,Scotland,False,True,0-1,True,True,44.0,50.0,94.0,59.607768179491806
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-14,06:00,Australia,Turkey,Australia,Turkey,0.21419930451699556,0.2629311044794339,0.5228695910035706,126.0,115.0,66.0,26.98911236914144,30.2370770151349,34.509393006235655,2-0,0-0,0-1,0.03689690227818118,0.10321959633966468,0.12214554383286688,0.1766358418915959,0.4290644463033934,0.2218632902345593,0.1618719453901823,0.5442092817876673,0.17662741138505986,Tres rare,Exact,Tres rare,50.0,20.0,50.0,1.8448451139090591,2.0643919267932938,6.107277191643344,1.8448451139090591,2.0643919267932938,6.107277191643344,28.8339574830505,32.30146894192819,40.616670197878996,Turkey,0-1,Tres rare,0.5228695910035706,66.0,0.12214554383286688,0.2218632902345593,0.17662741138505986,50.0,34.509393006235655,6.107277191643344,40.616670197878996,Draw,32.30146894192819,8.315201255950804,Turkey,False,True,2-0,False,False,0.0,0.0,0.0,-40.616670197878996
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-14,18:00,Germany,Curacao,Germany,Curaçao,0.9227023373330012,0.05741538843623016,0.019882274230768587,15.0,179.0,222.0,13.840535059995018,10.2773545300852,4.413864879230626,2-0,1-1,0-1,0.12098574028068525,0.024866488066445813,0.006828872268332308,0.13132107501988768,0.44762421976973304,0.29497556036337497,0.12172706800213438,0.3686801433153222,0.22482409297558256,Tres rare,Exact,Rare,50.0,20.0,30.0,6.049287014034262,0.49732976132891626,0.20486616804996924,6.049287014034262,0.49732976132891626,0.20486616804996924,19.88982207402928,10.774684291414117,4.618731047280596,Germany,2-0,Tres rare,0.9227023373330012,15.0,0.12098574028068525,0.13132107501988768,0.12172706800213438,50.0,13.840535059995018,6.049287014034262,19.88982207402928,Draw,10.774684291414117,9.115137782615163,Germany,False,True,7-1,True,False,15.0,0.0,15.0,-4.889822074029279
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2026-06-14,22:00,Netherlands,Japan,Netherlands,Japan,0.472673308469653,0.26300021683350666,0.26432647469684034,74.0,115.0,113.0,34.97782482675432,30.245024935853266,29.86889164074296,2-0,1-1,0-2,0.09776975353926988,0.10794009910010541,0.05892747702995074,0.21021591864786635,0.4413197906936976,0.20297200451931371,0.19466748611037135,0.3536086829579888,0.17890999459565912,Tres rare,Exact,Tres rare,50.0,20.0,50.0,4.888487676963494,2.158801982002108,2.9463738514975373,4.888487676963494,2.158801982002108,2.9463738514975373,39.866312503717815,32.403826917855376,32.8152654922405,Netherlands,2-0,Tres rare,0.472673308469653,74.0,0.09776975353926988,0.21021591864786635,0.19466748611037135,50.0,34.97782482675432,4.888487676963494,39.866312503717815,Japan,32.8152654922405,7.051047011477316,Netherlands,False,True,2-2,False,False,0.0,0.0,0.0,-39.866312503717815
