bin,bin_low,bin_high,n,hits,avg_predicted_probability,observed_hit_rate,wilson_low,wilson_high
0-10,0.0,0.1,17,0,0.07563776642015452,0.0,0.0,0.1843181350088518
10-20,0.1,0.2,154,23,0.15950399225000747,0.14935064935064934,0.10162818388836428,0.2141409378182045
20-30,0.2,0.3,483,135,0.2549085629714233,0.2795031055900621,0.24134257929825564,0.3211433262448692
30-40,0.3,0.4,166,58,0.34488891068721156,0.3493975903614458,0.2810189336856055,0.42458887051497984
40-50,0.4,0.5,129,55,0.44533271958403453,0.4263565891472868,0.34436062205298384,0.5126117405763237
50-60,0.5,0.6,98,47,0.5462601741667594,0.47959183673469385,0.3833313279110928,0.5773919369918329
60-70,0.6,0.7,68,42,0.6440363464875518,0.6176470588235294,0.4988071245222142,0.7239055021789457
70-80,0.7,0.8,21,16,0.7456653506124548,0.7619047619047619,0.5490882631704924,0.8937198697736354
80-90,0.8,0.9,4,4,0.8358215640959317,1.0,0.5101091635454027,1.0
