bin,bin_low,bin_high,n,hits,avg_predicted_probability,observed_hit_rate,wilson_low,wilson_high
0-10,0.0,0.1,329,14,0.07737080431361425,0.0425531914893617,0.02551464435147455,0.07015089843731463
10-20,0.1,0.2,2390,335,0.16073152122071088,0.1401673640167364,0.12682589851836207,0.15466369484537573
20-30,0.2,0.3,9626,2460,0.2593468772495007,0.25555786411801373,0.24694321536634117,0.2643675346471576
30-40,0.3,0.4,4531,1554,0.34243522689470507,0.34297064665636723,0.32928684836429595,0.3569204837063476
40-50,0.4,0.5,3016,1392,0.44590686677629127,0.46153846153846156,0.44380709265755935,0.47936768218952797
50-60,0.5,0.6,1723,934,0.544703018625662,0.5420777713290772,0.5184850270703901,0.5654833067099584
60-70,0.6,0.7,862,590,0.6438650029559899,0.6844547563805105,0.6526704827819857,0.7146022976565104
70-80,0.7,0.8,379,296,0.7431509707516128,0.7810026385224275,0.7366601171604628,0.8197059583845574
80-90,0.8,0.9,82,71,0.832992127408355,0.8658536585365854,0.7755498725711748,0.9234130857043615
