bin,bin_low,bin_high,n,hits,avg_predicted_probability,observed_hit_rate,wilson_low,wilson_high
0-10,0.0,0.1,665,38,0.07049145840498218,0.05714285714285714,0.04191245365302315,0.07746031812681109
10-20,0.1,0.2,2743,444,0.15976662852161344,0.16186656944950784,0.14855713209061358,0.1761217662698291
20-30,0.2,0.3,9023,2327,0.2581763925232654,0.2578964867560678,0.2489741789605487,0.2670248534883068
30-40,0.3,0.4,4416,1510,0.3413585846177683,0.34193840579710144,0.32809044711060725,0.3560611196352999
40-50,0.4,0.5,2831,1273,0.4466102853533184,0.44966442953020136,0.4314202593499437,0.46804501793629955
50-60,0.5,0.6,1747,950,0.5455794579311544,0.5437893531768746,0.5203626489539468,0.567023904082703
60-70,0.6,0.7,887,565,0.6442370196346432,0.636978579481398,0.6048049769297915,0.6679708324961485
70-80,0.7,0.8,468,354,0.7419169311531365,0.7564102564102564,0.7155355376182527,0.7931098887498508
80-90,0.8,0.9,243,203,0.8410721282021888,0.8353909465020576,0.7836173684453739,0.8767255122795506
90-100,0.9,1.0,20,17,0.9200650263357302,0.85,0.6395811352592431,0.9476312541037835
