strategy,resolved_games,actual_points,simulated_mean,simulated_sd,actual_percentile,p05,p10,p25,median,p75,p90,p95
bookmaker_injected_top1,44,1636.0,1704.809585,263.1513524706414,0.40483,1279.0,1370.0,1525.0,1700.0,1881.0,2045.0,2146.0
max_bettor_share_outcome,44,1527.0,1762.87857,192.33255887850893,0.112705,1443.0,1514.0,1633.0,1765.0,1894.0,2009.0,2077.0
