strategy,resolved_games,actual_or_expected_realized_points,simulated_mean,simulated_sd,p05,p10,p25,median,p75,p90,p95,actual_percentile
bookmaker_injected_top1_ex_ante,44,1636.0,1704.809585,263.1513524706414,1279.0,1370.0,1525.0,1700.0,1881.0,2045.0,2146.0,0.40483
random_player_sampled_by_bettor_share_vs_actual_results,44,1436.4515931593162,1436.24148,224.61902572446886,1078.0,1152.0,1281.0,1431.0,1585.0,1727.0,1817.0,0.510035
