strategy,games,mean,sd,p01,p05,p10,p25,median,p75,p90,p95,p99
hybrid_strategy_bookmaker_day2_compute_optimal_day3,28,1226.141645,252.67071500610032,672.0,821.0,905.0,1051.0,1220.0,1394.0,1556.0,1653.0,1837.0100000000093
random_exact_bettor_share_day2_and_day3,28,981.521815,213.18651717241823,514.0,640.0,711.0,834.0,976.0,1123.0,1260.0,1342.0,1500.0
