strategy,commence_time,match,selected_score,actual_score,outcome_correct,exact_score_correct,base_points,exact_bonus_points,realized_points,expected_points,realized_minus_expected
always_0_0,2026-06-11T19:00:00Z,Mexico vs South Africa,0-0,2-0,False,False,0.0,0.0,0.0,28.69051502328928,-28.69051502328928
always_0_0,2026-06-12T02:00:00Z,South Korea vs Czech Republic,0-0,2-1,False,False,0.0,0.0,0.0,34.48831685227946,-34.48831685227946
always_0_0,2026-06-12T19:02:00Z,Canada vs Bosnia & Herzegovina,0-0,1-1,True,False,117.0,0.0,117.0,32.77086153167917,84.22913846832083
always_0_0,2026-06-13T01:02:00Z,USA vs Paraguay,0-0,4-1,False,False,0.0,0.0,0.0,33.35598124392975,-33.35598124392975
always_0_0,2026-06-13T19:04:00Z,Qatar vs Switzerland,0-0,1-1,True,False,141.0,0.0,141.0,22.683283259022385,118.31671674097761
always_0_0,2026-06-13T22:04:00Z,Brazil vs Morocco,0-0,1-1,True,False,122.0,0.0,122.0,31.206895716774017,90.79310428322599
always_0_0,2026-06-14T01:00:00Z,Haiti vs Scotland,0-0,0-1,False,False,0.0,0.0,0.0,28.646178181560526,-28.646178181560526
always_0_0,2026-06-14T04:00:00Z,Australia vs Turkey,0-0,2-0,False,False,0.0,0.0,0.0,32.04476570930628,-32.04476570930628
always_0_0,2026-06-14T17:01:00Z,Germany vs Curaçao,0-0,7-1,False,False,0.0,0.0,0.0,10.713474573429647,-10.713474573429647
always_0_0,2026-06-14T20:00:00Z,Netherlands vs Japan,0-0,2-2,True,False,115.0,0.0,115.0,32.19613397285411,82.80386602714589
always_0_0,2026-06-14T23:03:00Z,Ivory Coast vs Ecuador,0-0,1-0,False,False,0.0,0.0,0.0,36.44606208176375,-36.44606208176375
always_0_0,2026-06-15T02:00:00Z,Sweden vs Tunisia,0-0,5-1,False,False,0.0,0.0,0.0,33.123575123690536,-33.123575123690536
always_0_0,2026-06-15T16:01:00Z,Spain vs Cape Verde,0-0,0-0,True,True,166.0,20.0,186.0,15.486400379900754,170.51359962009926
always_0_0,2026-06-15T19:00:00Z,Belgium vs Egypt,0-0,1-1,True,False,122.0,0.0,122.0,30.481623715448304,91.51837628455169
always_0_0,2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,0-0,1-1,True,False,125.0,0.0,125.0,28.839274407176198,96.16072559282381
always_0_0,2026-06-16T01:03:00Z,Iran vs New Zealand,0-0,2-2,True,False,116.0,0.0,116.0,33.95805604699133,82.04194395300867
always_0_0,2026-06-16T19:02:00Z,France vs Senegal,0-0,3-1,False,False,0.0,0.0,0.0,28.230375143751484,-28.230375143751484
always_0_0,2026-06-16T22:00:00Z,Iraq vs Norway,0-0,1-4,False,False,0.0,0.0,0.0,21.72454577028731,-21.72454577028731
always_0_0,2026-06-17T01:02:00Z,Argentina vs Algeria,0-0,3-0,False,False,0.0,0.0,0.0,28.767787705143167,-28.767787705143167
always_0_0,2026-06-17T04:02:00Z,Austria vs Jordan,0-0,3-1,False,False,0.0,0.0,0.0,24.964337887433587,-24.964337887433587
always_0_0,2026-06-17T17:01:00Z,Portugal vs DR Congo,0-0,1-1,True,False,140.0,0.0,140.0,23.633572736262323,116.36642726373768
always_0_0,2026-06-17T20:00:00Z,England vs Croatia,0-0,4-2,False,False,0.0,0.0,0.0,31.78049453787668,-31.78049453787668
always_0_0,2026-06-17T23:00:00Z,Ghana vs Panama,0-0,1-0,False,False,0.0,0.0,0.0,31.947927201861805,-31.947927201861805
always_0_0,2026-06-18T02:00:00Z,Uzbekistan vs Colombia,0-0,1-3,False,False,0.0,0.0,0.0,28.300649565379338,-28.300649565379338
always_1_1,2026-06-11T19:00:00Z,Mexico vs South Africa,1-1,2-0,False,False,0.0,0.0,0.0,28.660936953409692,-28.660936953409692
always_1_1,2026-06-12T02:00:00Z,South Korea vs Czech Republic,1-1,2-1,False,False,0.0,0.0,0.0,34.65711469011787,-34.65711469011787
always_1_1,2026-06-12T19:02:00Z,Canada vs Bosnia & Herzegovina,1-1,1-1,True,True,117.0,20.0,137.0,32.95644368276912,104.04355631723088
always_1_1,2026-06-13T01:02:00Z,USA vs Paraguay,1-1,4-1,False,False,0.0,0.0,0.0,33.48588032840591,-33.48588032840591
always_1_1,2026-06-13T19:04:00Z,Qatar vs Switzerland,1-1,1-1,True,True,141.0,20.0,161.0,22.79398970762247,138.20601029237753
always_1_1,2026-06-13T22:04:00Z,Brazil vs Morocco,1-1,1-1,True,True,122.0,20.0,142.0,31.4098847656519,110.5901152343481
always_1_1,2026-06-14T01:00:00Z,Haiti vs Scotland,1-1,0-1,False,False,0.0,0.0,0.0,28.849801912333703,-28.849801912333703
always_1_1,2026-06-14T04:00:00Z,Australia vs Turkey,1-1,2-0,False,False,0.0,0.0,0.0,32.24980251088209,-32.24980251088209
always_1_1,2026-06-14T17:01:00Z,Germany vs Curaçao,1-1,7-1,False,False,0.0,0.0,0.0,10.851198681664588,-10.851198681664588
always_1_1,2026-06-14T20:00:00Z,Netherlands vs Japan,1-1,2-2,True,False,115.0,0.0,115.0,32.660899887417386,82.33910011258261
always_1_1,2026-06-14T23:03:00Z,Ivory Coast vs Ecuador,1-1,1-0,False,False,0.0,0.0,0.0,36.795367114995734,-36.795367114995734
always_1_1,2026-06-15T02:00:00Z,Sweden vs Tunisia,1-1,5-1,False,False,0.0,0.0,0.0,33.2124357085853,-33.2124357085853
always_1_1,2026-06-15T16:01:00Z,Spain vs Cape Verde,1-1,0-0,True,False,166.0,0.0,166.0,15.656178982327313,150.3438210176727
always_1_1,2026-06-15T19:00:00Z,Belgium vs Egypt,1-1,1-1,True,True,122.0,20.0,142.0,30.966460081354455,111.03353991864554
always_1_1,2026-06-15T22:03:00Z,Saudi Arabia vs Uruguay,1-1,1-1,True,True,125.0,20.0,145.0,29.04178284741228,115.95821715258772
always_1_1,2026-06-16T01:03:00Z,Iran vs New Zealand,1-1,2-2,True,False,116.0,0.0,116.0,34.04229011212317,81.95770988787683
always_1_1,2026-06-16T19:02:00Z,France vs Senegal,1-1,3-1,False,False,0.0,0.0,0.0,28.443991327180832,-28.443991327180832
always_1_1,2026-06-16T22:00:00Z,Iraq vs Norway,1-1,1-4,False,False,0.0,0.0,0.0,21.938260184589,-21.938260184589
always_1_1,2026-06-17T01:02:00Z,Argentina vs Algeria,1-1,3-0,False,False,0.0,0.0,0.0,28.862548965455694,-28.862548965455694
always_1_1,2026-06-17T04:02:00Z,Austria vs Jordan,1-1,3-1,False,False,0.0,0.0,0.0,25.34582777584605,-25.34582777584605
always_1_1,2026-06-17T17:01:00Z,Portugal vs DR Congo,1-1,1-1,True,True,140.0,20.0,160.0,23.914823291641724,136.0851767083583
always_1_1,2026-06-17T20:00:00Z,England vs Croatia,1-1,4-2,False,False,0.0,0.0,0.0,32.07763591635976,-32.07763591635976
always_1_1,2026-06-17T23:00:00Z,Ghana vs Panama,1-1,1-0,False,False,0.0,0.0,0.0,32.23960854569783,-32.23960854569783
always_1_1,2026-06-18T02:00:00Z,Uzbekistan vs Colombia,1-1,1-3,False,False,0.0,0.0,0.0,28.40271059666637,-28.40271059666637
underdog_1_0,2026-06-11T19:00:00Z,Mexico vs South Africa,0-1,2-0,False,False,0.0,0.0,0.0,18.828362321270717,-18.828362321270717
underdog_1_0,2026-06-12T02:00:00Z,South Korea vs Czech Republic,0-1,2-1,False,False,0.0,0.0,0.0,35.55735063162171,-35.55735063162171
underdog_1_0,2026-06-12T19:02:00Z,Canada vs Bosnia & Herzegovina,0-1,1-1,False,False,0.0,0.0,0.0,28.87043414546122,-28.87043414546122
underdog_1_0,2026-06-13T01:02:00Z,USA vs Paraguay,0-1,4-1,False,False,0.0,0.0,0.0,30.38583848910517,-30.38583848910517
underdog_1_0,2026-06-13T19:04:00Z,Qatar vs Switzerland,1-0,1-1,False,False,0.0,0.0,0.0,13.746926642378043,-13.746926642378043
underdog_1_0,2026-06-13T22:04:00Z,Brazil vs Morocco,0-1,1-1,False,False,0.0,0.0,0.0,24.582320350178172,-24.582320350178172
