commence_time,match,strategy_snapshot,selected_score,actual_score,outcome_correct,exact_score_correct,selected_base_points,base_points,exact_bonus_points,realized_points,bookmaker_outcome_probability,bookmaker_exact_score_probability,bookmaker_conditional_bettor_share,bookmaker_nominal_bonus_label,bookmaker_nominal_bonus_points,bookmaker_expected_bonus_points,bookmaker_assessed_expected_points,original_compute_expected_points
2026-06-17T01:02:00Z,Argentina vs Algeria,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,1-0,3-0,True,False,43.0,43.0,0.0,43.0,0.6770062098225214,0.11712085056808323,0.07692307692307693,Tres rare,50.0,50.07095944544486,34.975620381378924,36.35937982255008
2026-06-17T04:02:00Z,Austria vs Jordan,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,2-0,3-1,True,False,38.0,38.0,0.0,38.0,0.72048265083214,0.12107045338456732,0.3026315789473684,Exact,20.0,23.962144412022997,30.279448419651423,34.42628598492526
2026-06-17T17:01:00Z,Portugal vs DR Congo,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,2-0,1-1,False,False,34.0,0.0,0.0,0.0,0.7512056858146061,0.1258632517127679,0.2125,Rare,30.0,32.11299547333711,29.58283935020821,33.07766754211175
2026-06-17T20:00:00Z,England vs Croatia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,1-0,4-2,True,False,58.99999999999999,58.99999999999999,0.0,58.99999999999999,0.5481178212211185,0.11109743257970636,0.09433962264150944,Tres rare,50.0,50.000092516826605,37.893833359413215,36.31553338540708
2026-06-17T23:00:00Z,Ghana vs Panama,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,2-0,1-0,True,False,73.0,73.0,0.0,73.0,0.47603602128472483,0.07938138942780212,0.23255813953488372,Rare,30.0,30.011306781332102,37.132968784631075,39.68454146600393
2026-06-18T02:00:00Z,Uzbekistan vs Colombia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260616T094426Z.csv,0-1,1-3,True,False,44.0,44.0,0.0,44.0,0.6743744880241006,0.12437874858347013,0.09803921568627451,Tres rare,50.0,50.00001555877958,35.89141683741546,35.49883129652183
2026-06-18T16:00:00Z,Czech Republic vs South Africa,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,1-0,1-1,False,False,62.0,0.0,0.0,0.0,0.5283057172401022,0.10481098207055338,0.14705882352941177,Tres rare,50.0,49.99999880407573,37.99550344706801,36.739086204489276
2026-06-18T19:00:00Z,Switzerland vs Bosnia & Herzegovina,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,1-0,4-1,True,False,76.0,76.0,0.0,76.0,0.6141649998101066,0.1182198135235866,0.13725490196078433,Tres rare,50.0,49.999999996492626,52.58753066133279,53.86667274873494
2026-06-18T22:00:00Z,Canada vs Qatar,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,1-0,6-0,True,False,71.0,71.0,0.0,71.0,0.7499282427250122,0.11019742704656575,0.15853658536585366,Tres rare,50.0,49.999662170098254,58.7547393578182,60.11897300431325
2026-06-19T01:00:00Z,Mexico vs South Korea,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,1-0,1-0,True,True,69.00000000000001,69.00000000000001,50.0,119.00000000000001,0.4716456636391982,0.11181822152223155,0.08,Tres rare,50.0,50.02699796063356,38.13748073115903,36.85230082522965
