match_number,match_date,stage,home_team,away_team,home_score,away_score,result,home_odds,draw_odds,away_odds,home_implied_probability,draw_implied_probability,away_implied_probability,overround,home_vig_free_probability,draw_vig_free_probability,away_vig_free_probability,source_date,source_stage,source_status,source_home_score,source_away_score,source_result,official_date,official_stage,official_home_score,official_away_score,official_result,date_mismatch,score_mismatch,source_file
19,2022-11-25,Group A,Qatar,Senegal,1,3,away,6.25,3.65,1.72,0.16,0.273972602739726,0.5813953488372093,1.0153679515769354,0.15757834364528558,0.26982593089946155,0.5725957254552528,2022-11-25,Group Stage,Finished,1,3,away,2022-11-25,Group A,1,3,away,False,False,data/historical/odds_2022_unformatted.txt
20,2022-11-25,Group B,Wales,Iran,0,2,away,2.15,3.2,4.1,0.46511627906976744,0.3125,0.24390243902439027,1.0215187180941576,0.4553184105500608,0.30591705708832206,0.23876453236161724,2022-11-25,Group Stage,Finished,0,2,away,2022-11-25,Group B,0,2,away,False,False,data/historical/odds_2022_unformatted.txt
21,2022-11-26,Group C,Argentina,Mexico,2,0,home,1.57,4.1,7.75,0.6369426751592356,0.24390243902439027,0.12903225806451613,1.009877372248142,0.6307128891711906,0.24151688682896816,0.1277702239998412,2022-11-26,Group Stage,Finished,2,0,home,2022-11-26,Group C,2,0,home,False,False,data/historical/odds_2022_unformatted.txt
22,2022-11-26,Group D,France,Denmark,2,1,home,1.85,3.6,4.9,0.5405405405405405,0.2777777777777778,0.2040816326530612,1.0223999509713795,0.5286977371497077,0.27169189270193317,0.19961037014835906,2022-11-26,Group Stage,Finished,2,1,home,2022-11-26,Group D,2,1,home,False,False,data/historical/odds_2022_unformatted.txt
23,2022-11-26,Group C,Poland,Saudi Arabia,2,0,home,1.79,3.65,5.5,0.5586592178770949,0.273972602739726,0.18181818181818182,1.0144500024350027,0.5507015787235794,0.27007008929183757,0.17922833198458313,2022-11-26,Group Stage,Finished,2,0,home,2022-11-26,Group C,2,0,home,False,False,data/historical/odds_2022_unformatted.txt
24,2022-11-26,Group D,Tunisia,Australia,0,1,away,2.2,3.4,3.7,0.45454545454545453,0.29411764705882354,0.27027027027027023,1.0189333718745484,0.4460992907801418,0.2886524822695036,0.26524822695035455,2022-11-26,Group Stage,Finished,0,1,away,2022-11-26,Group D,0,1,away,False,False,data/historical/odds_2022_unformatted.txt
25,2022-11-27,Group F,Belgium,Morocco,0,2,away,1.9,3.5,4.8,0.5263157894736842,0.2857142857142857,0.20833333333333334,1.0203634085213031,0.5158120970217992,0.2800122812404053,0.20417562173779555,2022-11-27,Group Stage,Finished,0,2,away,2022-11-27,Group F,0,2,away,False,False,data/historical/odds_2022_unformatted.txt
26,2022-11-27,Group F,Croatia,Canada,4,1,home,2.25,3.35,3.7,0.4444444444444444,0.29850746268656714,0.27027027027027023,1.0132221774012817,0.4386446076262939,0.2946120498982571,0.266743342475449,2022-11-27,Group Stage,Finished,4,1,home,2022-11-27,Group F,4,1,home,False,False,data/historical/odds_2022_unformatted.txt
27,2022-11-27,Group E,Japan,Costa Rica,0,1,away,1.5,4.35,8.2,0.6666666666666666,0.2298850574712644,0.12195121951219513,1.0185029436501263,0.6545554638040186,0.22570878062207542,0.11973575557390585,2022-11-27,Group Stage,Finished,0,1,away,2022-11-27,Group E,0,1,away,False,False,data/historical/odds_2022_unformatted.txt
28,2022-11-27,Group E,Spain,Germany,1,1,draw,2.55,3.5,2.9,0.3921568627450981,0.2857142857142857,0.3448275862068966,1.0226987346662804,0.3834529656214583,0.2793728749527767,0.337174159425765,2022-11-27,Group Stage,Finished,1,1,draw,2022-11-27,Group E,1,1,draw,False,False,data/historical/odds_2022_unformatted.txt
29,2022-11-28,Group G,Brazil,Switzerland,1,0,home,1.5,4.3,8.5,0.6666666666666666,0.23255813953488372,0.11764705882352941,1.0168718650250796,0.6556053811659194,0.22869955156950675,0.115695067264574,2022-11-28,Group Stage,Finished,1,0,home,2022-11-28,Group G,1,0,home,False,False,data/historical/odds_2022_unformatted.txt
30,2022-11-28,Group G,Cameroon,Serbia,3,3,draw,5.75,3.9,1.7,0.17391304347826086,0.25641025641025644,0.5882352941176471,1.0185585940061643,0.17074426989441152,0.25173834663919653,0.577517383466392,2022-11-28,Group Stage,Finished,3,3,draw,2022-11-28,Group G,3,3,draw,False,False,data/historical/odds_2022_unformatted.txt
31,2022-11-28,Group H,Portugal,Uruguay,2,0,home,2.0,3.45,4.5,0.5,0.2898550724637681,0.2222222222222222,1.0120772946859904,0.49403341288782815,0.2863961813842482,0.2195704057279236,2022-11-28,Group Stage,Finished,2,0,home,2022-11-28,Group H,2,0,home,False,False,data/historical/odds_2022_unformatted.txt
32,2022-11-28,Group H,South Korea,Ghana,2,3,away,2.8,3.2,2.88,0.35714285714285715,0.3125,0.3472222222222222,1.0168650793650795,0.35121951219512193,0.30731707317073165,0.34146341463414626,2022-11-28,Group Stage,Finished,2,3,away,2022-11-28,Group H,2,3,away,False,False,data/historical/odds_2022_unformatted.txt
33,2022-11-29,Group A,Ecuador,Senegal,1,2,away,2.48,3.1,3.35,0.40322580645161293,0.3225806451612903,0.29850746268656714,1.0243139142994704,0.39365452408930673,0.31492361927144535,0.2914218566392479,2022-11-29,Group Stage,Finished,1,2,away,2022-11-29,Group A,1,2,away,False,False,data/historical/odds_2022_unformatted.txt
34,2022-11-29,Group B,Iran,USA,0,1,away,4.4,3.55,1.95,0.22727272727272727,0.28169014084507044,0.5128205128205129,1.0217833809383106,0.2224275042172062,0.2756847939593542,0.5018877018234397,2022-11-29,Group Stage,Finished,0,1,away,2022-11-29,Group B,0,1,away,False,False,data/historical/odds_2022_unformatted.txt
35,2022-11-29,Group A,Netherlands,Qatar,2,0,home,1.22,7.4,17.0,0.819672131147541,0.13513513513513511,0.058823529411764705,1.0136307956944408,0.808649593746786,0.13331790599609172,0.05803250025712229,2022-11-29,Group Stage,Finished,2,0,home,2022-11-29,Group A,2,0,home,False,False,data/historical/odds_2022_unformatted.txt
36,2022-11-29,Group B,Wales,England,0,3,away,9.5,4.5,1.44,0.10526315789473684,0.2222222222222222,0.6944444444444444,1.0219298245614035,0.10300429184549356,0.21745350500715308,0.6795422031473534,2022-11-29,Group Stage,Finished,0,3,away,2022-11-29,Group B,0,3,away,False,False,data/historical/odds_2022_unformatted.txt
37,2022-11-30,Group D,Australia,Denmark,1,0,home,8.7,5.0,1.43,0.1149425287356322,0.2,0.6993006993006994,1.0142432280363316,0.11332836696200727,0.1971913585138926,0.6894802745241001,2022-11-30,Group Stage,Finished,1,0,home,2022-11-30,Group D,1,0,home,False,False,data/historical/odds_2022_unformatted.txt
38,2022-11-30,Group C,Poland,Argentina,0,2,away,8.5,4.7,1.44,0.11764705882352941,0.2127659574468085,0.6944444444444444,1.0248574607147822,0.11479358187184098,0.2076054140235422,0.6776010041046169,2022-11-30,Group Stage,Finished,0,2,away,2022-11-30,Group C,0,2,away,False,False,data/historical/odds_2022_unformatted.txt
39,2022-11-30,Group C,Saudi Arabia,Mexico,1,2,away,5.5,4.4,1.63,0.18181818181818182,0.22727272727272727,0.6134969325153374,1.0225878416062466,0.1778020179983638,0.2222525224979547,0.5999454595036814,2022-11-30,Group Stage,Finished,1,2,away,2022-11-30,Group C,1,2,away,False,False,data/historical/odds_2022_unformatted.txt
40,2022-11-30,Group D,Tunisia,France,1,0,home,6.3,3.95,1.63,0.15873015873015872,0.2531645569620253,0.6134969325153374,1.0253916482075214,0.15479954318687264,0.24689547394361963,0.5983049828695078,2022-11-30,Group Stage,Finished,1,0,home,2022-11-30,Group D,1,0,home,False,False,data/historical/odds_2022_unformatted.txt
41,2022-12-01,Group F,Canada,Morocco,1,2,away,4.75,3.6,1.88,0.21052631578947367,0.2777777777777778,0.5319148936170213,1.0202189871842728,0.20635404597841328,0.2722726995548509,0.5213732544667358,2022-12-01,Group Stage,Finished,1,2,away,2022-12-01,Group F,1,2,away,False,False,data/historical/odds_2022_unformatted.txt
42,2022-12-01,Group E,Costa Rica,Germany,2,4,away,31.0,12.0,1.12,0.03225806451612903,0.08333333333333333,0.8928571428571428,1.008448540706605,0.03198781416603199,0.08263518659558264,0.8853769992383854,2022-12-01,Group Stage,Finished,2,4,away,2022-12-01,Group E,2,4,away,False,False,data/historical/odds_2022_unformatted.txt
43,2022-12-01,Group F,Croatia,Belgium,0,0,draw,3.1,3.55,2.45,0.3225806451612903,0.28169014084507044,0.4081632653061224,1.0124340513124832,0.31861892114662516,0.27823060719846143,0.4031504716549134,2022-12-01,Group Stage,Finished,0,0,draw,2022-12-01,Group F,0,0,draw,False,False,data/historical/odds_2022_unformatted.txt
44,2022-12-01,Group E,Japan,Spain,2,1,home,7.4,4.6,1.5,0.13513513513513511,0.2173913043478261,0.6666666666666666,1.0191931061496278,0.1325903151421983,0.21329746348962342,0.6541122213681784,2022-12-01,Group Stage,Finished,2,1,home,2022-12-01,Group E,2,1,home,False,False,data/historical/odds_2022_unformatted.txt
