match_number,match_date,home_team,away_team,result,home_probability,draw_probability,away_probability,actual_outcome_probability,favorite,favorite_probability,favorite_correct,surprise_score
1,2022-11-20,Qatar,Ecuador,away,0.25950506391257705,0.3041074967725513,0.4363874393148718,0.4363874393148718,away,0.4363874393148718,True,0.8292248079423223
2,2022-11-21,England,Iran,home,0.7032301480484522,0.20726783310901747,0.08950201884253028,0.7032301480484522,home,0.7032301480484522,True,0.35207106087879314
3,2022-11-21,Senegal,Netherlands,away,0.15653281408819816,0.2541117111821399,0.5893554747296619,0.5893554747296619,away,0.5893554747296619,True,0.5287257549157629
4,2022-11-21,USA,Wales,draw,0.3970950945464511,0.3151548369416278,0.2877500685119211,0.3151548369416278,home,0.3970950945464511,False,1.154691215079152
5,2022-11-22,Argentina,Saudi Arabia,away,0.8685671743648603,0.10314235195582716,0.02829047367931259,0.02829047367931259,home,0.8685671743648603,False,3.565230150107436
6,2022-11-22,Denmark,Tunisia,draw,0.6198347107438017,0.24793388429752067,0.1322314049586777,0.24793388429752067,home,0.6198347107438017,False,1.3945931639345857
7,2022-11-22,France,Australia,home,0.8038277511961722,0.14124401913875598,0.05492822966507177,0.8038277511961722,home,0.8038277511961722,True,0.21837027256155211
8,2022-11-22,Mexico,Poland,draw,0.3958587088915956,0.30207064555420216,0.30207064555420216,0.30207064555420216,home,0.3958587088915956,False,1.1970943632874462
9,2022-11-23,Belgium,Canada,home,0.6013534297139341,0.22922177791448783,0.16942479237157798,0.6013534297139341,home,0.6013534297139341,True,0.5085724478844392
10,2022-11-23,Germany,Japan,away,0.6786774490736001,0.19428805404852084,0.12703449687787902,0.12703449687787902,home,0.6786774490736001,False,2.0632966004483353
11,2022-11-23,Morocco,Croatia,draw,0.26709265175718844,0.2994675186368477,0.4334398296059638,0.2994675186368477,away,0.4334398296059638,False,1.2057493192717532
12,2022-11-23,Spain,Costa Rica,home,0.8402576790215667,0.11016711791616095,0.04957520306227243,0.8402576790215667,home,0.8402576790215667,True,0.17404667344627314
13,2022-11-24,Brazil,Serbia,home,0.6623093681917211,0.20697167755991286,0.13071895424836602,0.6623093681917211,home,0.6623093681917211,True,0.41202250865432344
14,2022-11-24,Portugal,Ghana,home,0.7345225603357817,0.1731374606505771,0.09233997901364112,0.7345225603357817,home,0.7345225603357817,True,0.30853456861079753
15,2022-11-24,Switzerland,Cameroon,home,0.5397075489952179,0.27973574370456367,0.18055670730021836,0.5397075489952179,home,0.5397075489952179,True,0.6167278620638157
16,2022-11-24,Uruguay,South Korea,draw,0.5398920215956808,0.2729454109178165,0.1871625674865027,0.2729454109178165,home,0.5398920215956808,False,1.2984834637998435
17,2022-11-25,England,USA,draw,0.6512729425695678,0.2249851983422143,0.12374185908821787,0.2249851983422143,home,0.6512729425695678,False,1.4917206640873688
18,2022-11-25,Netherlands,Ecuador,draw,0.5253677574302011,0.27919543680576403,0.19543680576403483,0.27919543680576403,home,0.5253677574302011,False,1.275843252046378
19,2022-11-25,Qatar,Senegal,away,0.15757834364528558,0.26982593089946155,0.5725957254552528,0.5725957254552528,away,0.5725957254552528,True,0.5575753514957373
20,2022-11-25,Wales,Iran,away,0.4553184105500608,0.30591705708832206,0.23876453236161724,0.23876453236161724,home,0.4553184105500608,False,1.4322774329433772
21,2022-11-26,Argentina,Mexico,home,0.6307128891711906,0.24151688682896816,0.1277702239998412,0.6307128891711906,home,0.6307128891711906,True,0.4609045292264542
22,2022-11-26,France,Denmark,home,0.5286977371497077,0.27169189270193317,0.19961037014835906,0.5286977371497077,home,0.5286977371497077,True,0.6373383957769247
