bin,lower,upper,count,avg_predicted_probability,actual_frequency,calibration_error,abs_calibration_error
0.0-0.1,0.0,0.1,11,0.06624679648948838,0.18181818181818182,0.11557138532869345,0.11557138532869345
0.1-0.2,0.1,0.2,39,0.14877421968199206,0.15384615384615385,0.005071934164161795,0.005071934164161795
0.2-0.3,0.2,0.3,60,0.2507176009488773,0.26666666666666666,0.015949065717789368,0.015949065717789368
0.3-0.4,0.3,0.4,26,0.33511134535945186,0.2692307692307692,-0.06588057612868264,0.06588057612868264
0.4-0.5,0.4,0.5,12,0.4504874269757271,0.5,0.04951257302427292,0.04951257302427292
0.5-0.6,0.5,0.6,18,0.5518596512744449,0.6111111111111112,0.05925145983666624,0.05925145983666624
0.6-0.7,0.6,0.7,15,0.6498458777901929,0.4666666666666667,-0.1831792111235262,0.1831792111235262
0.7-0.8,0.7,0.8,6,0.7365749039450257,0.8333333333333334,0.0967584293883077,0.0967584293883077
0.8-0.9,0.8,0.9,5,0.8413358395135541,0.8,-0.04133583951355402,0.04133583951355402
