logged_at_utc,submission_id,match,proportional_score,proportional_outcome,proportional_exact_score_probability,proportional_expected_points,power_score,power_outcome,power_exact_score_probability,power_expected_points,pick_changed,expected_points_delta_power_minus_proportional
2026-06-19T00:15:00+00:00,conversation-brazil-haiti-20260620,Brazil vs Haiti,2-0,home,0.10734148430676609,23.5693125460025,2-0,home,0.11948274840643995,24.17637578347914,False,0.6070632374766411
2026-06-19T00:20:00+00:00,conversation-turkey-paraguay-20260620,Turkey vs Paraguay,1-0,home,0.10060925311336165,44.842956894105264,1-0,home,0.11394143854661457,45.50956616578508,False,0.6666092716798175
2026-06-20T00:00:00+00:00,conversation-netherlands-sweden-20260620,Netherlands vs Sweden,3-0,home,0.05664313092300605,41.26169896529925,1-0,home,0.0893085196754369,41.61313945638946,True,0.3514404910902087
2026-06-20T00:05:00+00:00,conversation-germany-ivory-coast-20260620,Germany vs Ivory Coast,0-1,away,0.04158572133170206,32.73659337475903,0-1,away,0.04084874891803861,32.69974475406857,False,-0.03684862069046346
2026-06-20T00:10:00+00:00,conversation-ecuador-curacao-20260621,Ecuador vs Curacao,4-0,home,0.09264214217601403,40.55626777844269,4-0,home,0.09962784237001343,40.906048489554465,False,0.34978071111177655
2026-06-20T00:15:00+00:00,conversation-tunisia-japan-20260621,Tunisia vs Japan,0-1,away,0.12571065540744866,63.35894370528301,0-1,away,0.1452764452839874,64.33723325683864,False,0.9782895515556334
2026-06-21T00:00:00+00:00,conversation-spain-saudi-20260621,Spain vs Saudi Arabia,2-0,home,0.11296729678147988,32.5661006046657,2-0,home,0.12689006481305334,33.261997715423746,False,0.6958971107580467
2026-06-21T00:05:00+00:00,conversation-belgium-iran-20260621,Belgium vs Iran,1-0,home,0.10849531725011527,33.10339056322292,1-0,home,0.1231866877261386,34.030797794135445,False,0.9274072309125216
2026-06-21T00:10:00+00:00,conversation-uruguay-cabo-verde-20260621,Uruguay vs Cabo Verde,1-0,home,0.13485151690252217,53.13170357943302,1-0,home,0.15599179521065554,54.15634592552799,False,1.0246423460949643
2026-06-21T00:15:00+00:00,conversation-new-zealand-egypt-20260621,New Zealand vs Egypt,0-1,away,0.12003830324293269,40.93213430619753,0-1,away,0.13843599647643381,41.8519562580659,False,0.9198219518683644
2026-06-22T00:00:00+00:00,conversation-argentina-austria-20260622,Argentina vs Austria,1-0,home,0.11419277527150232,44.36598338461928,1-0,home,0.13049431191292998,45.275367110927874,False,0.9093837263085973
2026-06-22T00:05:00+00:00,conversation-france-iraq-20260622,France vs Iraq,1-0,home,0.07681164337515693,25.361113959603372,2-0,home,0.12485771833643941,25.618484071924936,True,0.2573701123215635
2026-06-22T00:10:00+00:00,conversation-norway-senegal-20260622,Norway vs Senegal,0-1,away,0.06481215123299891,46.60807006637924,0-1,away,0.06910415021842925,46.822671859860705,False,0.2146017934814637
2026-06-22T00:15:00+00:00,conversation-jordan-algeria-20260622,Jordan vs Algeria,0-1,away,0.10519340184970188,45.69458464719886,0-1,away,0.11964082806395479,46.41695595791146,False,0.7223713107126031
2026-06-23T12:12:37+00:00,conversation-02-portugal-uzbekistan,Portugal vs Uzbekistan,1-0,home,0.09640074778165525,26.046396104094857,1-0,home,0.10477133491172057,26.62080864043745,False,0.5744125363425923
2026-06-23T12:13:30+00:00,conversation-02-england-ghana,England vs Ghana,1-0,home,0.10815959689812789,42.13689192079673,1-0,home,0.12008564150942909,42.96114011176305,False,0.8242481909663226
2026-06-23T12:14:41+00:00,conversation-02-panama-croatia,Panama vs Croatia,1-1,draw,0.09413308432995228,30.516181046437925,1-1,draw,0.10516713568423945,30.736862073523668,False,0.22068102708574244
2026-06-23T12:17:19+00:00,conversation-02-colombia-dr-congo,Colombia vs DR Congo,1-0,home,0.13447645028485147,55.745339923118316,1-0,home,0.15613201956947925,56.853971021210725,False,1.1086310980924097
2026-06-24T12:41:53+00:00,screenshot-switzerland-canada-20260624,Switzerland vs Canada,0-1,away,0.07792460103436301,41.05339282282292,0-1,away,0.08450351221732219,41.3684371724218,False,0.31504434959887817
2026-06-24T12:44:28+00:00,screenshot-bosnia-qatar-20260624,Bosnia vs Qatar,1-0,home,0.0896895073723268,64.73888468246425,1-0,home,0.10015496320720256,65.25794622842955,False,0.5190615459653003
2026-06-24T12:50:46+00:00,screenshot-morocco-haiti-20260624,Morocco vs Haiti,3-1,home,0.07103870406279467,28.37680204790736,3-1,home,0.07427772664801614,28.6011573307025,False,0.2243552827951376
2026-06-24T12:54:25+00:00,screenshot-scotland-brazil-20260624,Scotland vs Brazil,0-1,away,0.11484473019961575,40.9123227688709,0-1,away,0.1306691824948258,41.70979780621738,False,0.7974750373464801
2026-06-24T12:57:19+00:00,screenshot-south-africa-south-korea-20260624,South Africa vs South Korea,0-1,away,0.1139291980711805,56.39847993233744,0-1,away,0.1305083598925562,57.22743802340997,False,0.8289580910725292
2026-06-24T13:00:48+00:00,screenshot-czech-republic-mexico-20260624,Czech Republic vs Mexico,0-2,away,0.08097370798638365,49.119969070940684,0-2,away,0.08851061322137621,49.49681433270993,False,0.3768452617692475
2026-06-25T10:15:45+00:00,screenshot-ecuador-germany-20260625,Ecuador vs Germany,3-2,home,0.017409167876227375,34.96226707000016,2-1,home,0.04629382465387806,34.84219512970703,True,-0.12007194029312984
2026-06-25T10:18:51+00:00,screenshot-curacao-ivory-coast-20260625,Curacao vs Ivory Coast,0-4,away,0.08228607915986684,48.456276113637465,0-4,away,0.08837641856851808,48.777382941682916,False,0.3211068280454512
2026-06-25T10:20:23+00:00,screenshot-tunisia-netherlands-20260625,Tunisia vs Netherlands,0-2,away,0.12533053751504514,54.909440641642064,0-2,away,0.14163763051713082,55.724478211925515,False,0.8150375702834509
2026-06-25T10:22:02+00:00,screenshot-japan-sweden-20260625,Japan vs Sweden,1-0,home,0.0891793966895004,53.53893674260426,1-0,home,0.09971098036513587,54.087769116429534,False,0.5488323738252774
2026-06-25T10:23:28+00:00,screenshot-turkey-united-states-20260625,Turkey vs United States,0-1,away,0.07974414750867581,50.353988308389354,0-1,away,0.08877133925415445,50.806250802109155,False,0.4522624937198003
2026-06-25T10:25:28+00:00,screenshot-paraguay-australia-20260625,Paraguay vs Australia,1-1,draw,0.16064166168549562,49.172915176249724,1-1,draw,0.1872375547663006,50.01930884562586,False,0.846393669376134
