event_id,commence_time,home_team,away_team,game_stage,market,bookmaker_count,home_probability,draw_probability,away_probability,home_avg_odds,draw_avg_odds,away_avg_odds,favorite,favorite_probability,favorite_gap_to_second
def55b09ef3d6854e3c01e74b5c63415,2026-06-28T19:00:00Z,South Africa,Canada,elimination,h2h,25,0.16293516681401982,0.2563137748615484,0.5807510583244319,5.9196,3.7571999999999997,1.6572,Canada,0.5807510583244319,0.3244372834628835
4f3d72fba877939d36a5315618184093,2026-06-29T17:00:00Z,Brazil,Japan,elimination,h2h,25,0.5672070993707088,0.25078217992667556,0.1820107207026157,1.6907999999999999,3.8256,5.2784,Brazil,0.5672070993707088,0.3164249194440332
4930db8e83436874d09e59bd0e29c1a5,2026-06-29T20:30:00Z,Germany,Paraguay,elimination,h2h,25,0.7018318175428745,0.1897418188184299,0.10842636363869569,1.3648000000000002,5.0512,8.9216,Germany,0.7018318175428745,0.5120899987244446
5a34afe2de99513ba48360b983cfe80c,2026-06-30T01:00:00Z,Netherlands,Morocco,elimination,h2h,24,0.4452344621124767,0.3017874325879236,0.25297810529959963,2.1529166666666666,3.1779166666666665,3.793333333333333,Netherlands,0.4452344621124767,0.14344702952455307
ce017bea1a26252278053ce759e2416b,2026-06-30T17:00:00Z,Ivory Coast,Norway,elimination,h2h,25,0.2589853063768421,0.2710684878035498,0.4699462058196081,3.7039999999999997,3.536,2.0391999999999997,Norway,0.4699462058196081,0.1988777180160583
0b5491529142c9bcc3f88bf45ccb0a7b,2026-06-30T21:00:00Z,France,Sweden,elimination,h2h,25,0.7498697002836849,0.16192167775514016,0.08820862196117503,1.2804,5.9464,10.99,France,0.7498697002836849,0.5879480225285447
f58c55a9da96af562c31b7c5cca40187,2026-07-01T01:00:00Z,Mexico,Ecuador,elimination,h2h,24,0.4341003639382833,0.31449342404260466,0.2514062120191121,2.205833333333333,3.0454166666666667,3.810833333333333,Mexico,0.4341003639382833,0.11960693989567861
5ff7744314f224c18d1604ee9cc19263,2026-07-01T16:00:00Z,England,DR Congo,elimination,h2h,22,0.7473478432795357,0.17334729089868448,0.0793048658217798,1.2813636363636365,5.531363636363636,12.173181818181819,England,0.7473478432795357,0.5740005523808512
658ac8cbf214ca3cc150109b4ddc1e74,2026-07-01T20:00:00Z,Belgium,Senegal,elimination,h2h,24,0.4485446930056663,0.2937235162496073,0.2577317907447264,2.1350000000000002,3.26,3.7158333333333338,Belgium,0.4485446930056663,0.154821176756059
9eeb4876001f5a52ce3c3641bd5f1f2f,2026-07-02T00:00:00Z,USA,Bosnia & Herzegovina,elimination,h2h,25,0.7005031891170139,0.19319887060523322,0.10629794027775281,1.3696000000000002,4.9719999999999995,9.07,USA,0.7005031891170139,0.5073043185117807
a518ac20df8f5c732b881e213ae0c230,2026-07-02T19:00:00Z,Spain,Austria,elimination,h2h,23,0.7510570710448958,0.17660313370293085,0.07233979525217339,1.2730434782608697,5.423913043478261,13.312173913043479,Spain,0.7510570710448958,0.574453937341965
852b4baf0be4b9eef2a30596a8d39249,2026-07-02T23:00:00Z,Portugal,Croatia,elimination,h2h,23,0.5172895352640975,0.27945249906092273,0.20325796567497986,1.8504347826086958,3.426086956521739,4.717826086956522,Portugal,0.5172895352640975,0.23783703620317476
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,Switzerland,Algeria,elimination,h2h,23,0.5051249907115285,0.2689040533990573,0.22597095588941424,1.891304347826087,3.5539130434782606,4.232173913043479,Switzerland,0.5051249907115285,0.23622093731247118
fb270a3dac2b682c861bd674a5ff4a04,2026-07-03T18:00:00Z,Australia,Egypt,elimination,h2h,25,0.2919206960054453,0.32500425888113904,0.3830750451134156,3.2836000000000003,2.9488,2.5008,Egypt,0.3830750451134156,0.05807078623227657
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,Argentina,Cape Verde,elimination,h2h,24,0.8374263079604399,0.11623704611957554,0.04633664591998452,1.1454166666666665,8.29875,21.03708333333333,Argentina,0.8374263079604399,0.7211892618408644
88e032a2b2e5042d26db3f0da1df924a,2026-07-04T01:30:00Z,Colombia,Ghana,elimination,h2h,23,0.591661939115553,0.2583212748266743,0.15001678605777274,1.6160869565217393,3.7030434782608697,6.39,Colombia,0.591661939115553,0.3333406642888787
