event_id,commence_time,home_team,away_team,game_stage,h2h_bookmaker_count,total_line_count,spread_line_count,home_lambda,away_lambda,model_home_win_probability,model_draw_probability,model_away_win_probability,grid_home_win_probability,grid_draw_probability,grid_away_win_probability,other_home_win_probability,other_draw_probability,other_away_win_probability,model_loss,score_0_0_probability,score_0_1_probability,score_0_2_probability,score_0_3_probability,score_0_4_probability,score_1_0_probability,score_1_1_probability,score_1_2_probability,score_1_3_probability,score_1_4_probability,score_2_0_probability,score_2_1_probability,score_2_2_probability,score_2_3_probability,score_2_4_probability,score_3_0_probability,score_3_1_probability,score_3_2_probability,score_3_3_probability,score_3_4_probability,score_4_0_probability,score_4_1_probability,score_4_2_probability,score_4_3_probability,score_4_4_probability,other_probability,calibration_strength,calibration_min_multiplier,calibration_max_multiplier
def55b09ef3d6854e3c01e74b5c63415,2026-06-28T19:00:00Z,South Africa,Canada,elimination,25,3,4,0.8121311997926188,1.6844511611155255,0.17481066342765092,0.2188552858025119,0.6063340507698376,0.1733040199289986,0.2188260574294225,0.5769731881629352,0.0015066434986523254,2.9228373089424164e-05,0.02936086260690237,0.014187936131296396,0.0889868804545413,0.11833784308342502,0.1540830828615073,0.057338676890792924,0.019124077485612342,0.06698634341898975,0.09500093135735585,0.12009934653162933,0.04970580835857011,0.01553125999331736,0.028963931358415185,0.044334755545077965,0.026672718913351025,0.02888285936380854,0.012162941497925931,0.005089620220672819,0.008573216690349387,0.01267667754643297,0.00781889040952377,0.0017072920963463242,0.0010333598440759476,0.0033569566506074996,0.001466015062796741,0.0008231435915802736,0.0003466362946505489,0.03089673447864412,0.35,0.7,1.35
4f3d72fba877939d36a5315618184093,2026-06-29T17:00:00Z,Brazil,Japan,elimination,25,2,4,1.6805522914154798,0.8643702583456748,0.5588406260444223,0.2277150002957882,0.21344437365978924,0.5285716111927931,0.2276758028729206,0.21139260173410213,0.030269014851629222,3.919742286758793e-05,0.002051771925687132,0.007512510863302378,0.08818675599872743,0.06017864786873234,0.0402082458670601,0.007678019777549411,0.0013140849619651506,0.13736923876823734,0.09997064046747761,0.0648524887930637,0.013773189901176517,0.002208388493945158,0.12290981492981662,0.09654166060518095,0.0298043137348218,0.01656126151893223,0.0035787654744124336,0.04469307821513658,0.03863136756308105,0.029311842384443457,0.009277355331457522,0.0010395090772651098,0.01877726375121476,0.031301694616491724,0.0070145843346740965,0.0020210660245165908,0.00043673734043626786,0.03235998420018395,0.35,0.7,1.35
4930db8e83436874d09e59bd0e29c1a5,2026-06-29T20:30:00Z,Germany,Paraguay,elimination,25,3,2,2.139298503684095,0.6931815050949016,0.700971397074729,0.17685588416964865,0.12217271875562231,0.6292000559734006,0.17682267980165198,0.12140527928732366,0.07177134110132843,3.3204367996663885e-05,0.0007674394682986587,0.007323184029447151,0.06731511229216851,0.036838232506857166,0.019738704146199763,0.0030227337065962586,0.000414878815434989,0.13348057110370917,0.07790192520732354,0.040527472067552354,0.006902470431811409,0.0008875496290703019,0.15203181711706093,0.09576566704258462,0.023709442993554448,0.010565323315221755,0.001830921679364918,0.07037323994220417,0.048781428381541724,0.029682788570026014,0.0075341267863975265,0.00067699298921474,0.03763734172693979,0.050315482001670304,0.009042382622387138,0.0020893374652767665,0.00036207252220792904,0.07257198493762376,0.35,0.7,1.35
5a34afe2de99513ba48360b983cfe80c,2026-06-30T01:00:00Z,Netherlands,Morocco,elimination,24,4,3,1.3748049442929093,0.9674659593045796,0.45481990379857656,0.25660887529422804,0.28857122090719534,0.4408516419482022,0.25657846839182813,0.28525190336237616,0.013968261850374357,3.0406902399911133e-05,0.0033193175448192054,0.02446307213752037,0.10665950620780298,0.08146564590593638,0.06092325302607238,0.01302126154649973,0.002494383122039282,0.13591730298579938,0.11071172284753715,0.0803865999543154,0.019108536501581345,0.003429290249140388,0.09948574954196292,0.0874631177765935,0.03022213867910913,0.01879642953605594,0.004546226433150323,0.02959399759074728,0.028631185268789733,0.024315222020226887,0.00861380808707433,0.0010802770875849698,0.01017149355228795,0.01897824940802603,0.004760210069859345,0.0015351137339092633,0.0003712925703045401,0.017317986297593475,0.35,0.7,1.35
ce017bea1a26252278053ce759e2416b,2026-06-30T17:00:00Z,Ivory Coast,Norway,elimination,25,2,2,1.1025834758203736,1.5510724545944587,0.26328139565518127,0.2286725481215472,0.5080460562232716,0.2577105085344763,0.22859497464093298,0.48634329511566493,0.005570887120704972,7.757348061421364e-05,0.021702761107606685,0.005882143782152793,0.07660020684053366,0.09379966146944743,0.11246211392939931,0.03853653054418218,0.01183529538639297,0.07828445203257116,0.10223292086665929,0.11900828923571871,0.04535418535017178,0.013049401124489992,0.04595492252635914,0.06477277575531007,0.03588303265850656,0.03577961799252187,0.013874194976028237,0.0109633982474917,0.017005025030433538,0.023153282986915876,0.013150005189906644,0.0026440051073123813,0.003022015436630598,0.009039918023582724,0.0036352212913777025,0.001879497203803751,0.0007288090853268263,0.02735122170892587,0.35,0.7,1.35
0b5491529142c9bcc3f88bf45ccb0a7b,2026-06-30T21:00:00Z,France,Sweden,elimination,25,3,2,2.4619786799895986,0.7719493076800767,0.7381322635537356,0.1497042966128208,0.11216343983344351,0.6251413319379419,0.14962631734759677,0.11097288543153479,0.1129909316157938,7.797926522405247e-05,0.0011905544019087195,0.004489968742694081,0.04517970363394226,0.027534132825061047,0.016429830064235092,0.0028019226247720493,0.0004282716473268064,0.10310073458946982,0.06700908834977654,0.03882190560814997,0.007363320503629267,0.0010543956649626215,0.135142232847888,0.09479998250929714,0.026137351942645035,0.012970742616459864,0.002503188945718165,0.0719908083922713,0.05557325469774289,0.03765805049914752,0.010644563928452231,0.0010651749312199095,0.04430995885424706,0.06596686683167537,0.01320227926902775,0.003397163447175001,0.0006556094927807011,0.11425946528292658,0.35,0.7,1.35
f58c55a9da96af562c31b7c5cca40187,2026-07-01T01:00:00Z,Mexico,Ecuador,elimination,24,4,3,1.1875370769575815,0.8168599427354049,0.4401203627039008,0.2890153803593962,0.2708642569367027,0.4323298797927769,0.289006705808672,0.26925207961391284,0.0077904829111238695,8.674550724250432e-06,0.0016121773227898428,0.015270257514174216,0.14896799301302593,0.09606823453588438,0.06065970523283799,0.010946673874723195,0.001770533641688429,0.1639737159848976,0.11277296687558959,0.06913643214544571,0.01387594712507756,0.002102574345505739,0.10367318943138326,0.07695599258388389,0.022451977079449258,0.011790077600195707,0.0024077105283354613,0.02663884003032398,0.021760201341708058,0.015603201899178524,0.004667051430146488,0.0004941905842186768,0.00790865255578789,0.012459075699539138,0.002638564408786344,0.0007184458572882968,0.00014671741046075174,0.009411334784637963,0.35,0.7,1.35
5ff7744314f224c18d1604ee9cc19263,2026-07-01T16:00:00Z,England,DR Congo,elimination,22,1,1,2.1826710692204996,0.5567265188134364,0.7427133142257335,0.16703113770896724,0.0902555480652992,0.6655838621007749,0.16701770348943518,0.08996884552274323,0.07712945212495863,1.343421953206012e-05,0.0002867025425559699,0.0002697172319056737,0.07426930919555844,0.03264303543767669,0.014047703480985128,0.0017277524792130845,0.00019045739390155403,0.15025598178699615,0.07042986356496575,0.029427482739831853,0.004025344880758016,0.00041570584358805476,0.17460838897923325,0.08833552593689133,0.01756474520727451,0.006286345362701314,0.0008749437924589227,0.08246222898960422,0.04590890967897879,0.022435828229366517,0.0045736747180988675,0.00033007411162861946,0.04499698037976128,0.04831266647045764,0.00697328141966102,0.0012940702298247658,0.00018011080353761132,0.07742958888704667,0.35,0.7,1.35
658ac8cbf214ca3cc150109b4ddc1e74,2026-07-01T20:00:00Z,Belgium,Senegal,elimination,24,3,3,1.3634224522268013,0.9592590672527335,0.4537913546853116,0.25827087649046315,0.2879377688242254,0.4402702503527501,0.25824239442278574,0.2847350370607997,0.013521104332561543,2.848206767740512e-05,0.003202731763425644,0.014878383182371712,0.10874855121994795,0.0823566430919057,0.061067119562387036,0.012941291896200085,0.0024580343622970743,0.1374320470910771,0.11099594070749184,0.07990930750103364,0.018833947398499976,0.0033513392379008185,0.09976162157110287,0.08696165527517158,0.029793961842237735,0.018372939458495465,0.004406102191911825,0.02943036265150376,0.02823134222599118,0.02377227024532457,0.008350026057038815,0.0010383123601681017,0.010031504304059328,0.018558279247860774,0.0046153845736233625,0.0014757831670355339,0.00035391459606944775,0.01675231816366459,0.35,0.7,1.35
9eeb4876001f5a52ce3c3641bd5f1f2f,2026-07-02T00:00:00Z,USA,Bosnia & Herzegovina,elimination,25,2,3,2.090869854995619,0.6586183075492442,0.7005812035147094,0.1808156971001458,0.11860309938514484,0.6340977596087451,0.18079085917297813,0.11798902633382666,0.06648344390596428,2.4837927167681487e-05,0.000614073051318178,0.007134162569440272,0.07313427145623616,0.038027167822431485,0.019359791076241112,0.0028168826142198006,0.00036734738428446007,0.14173660789174558,0.07859573888973617,0.038849654204854776,0.006286791093547147,0.0007680755721118688,0.1577807727818837,0.09443136391019592,0.022213378026670238,0.009405088354849581,0.0015485908436555342,0.07138102048980964,0.047012846906136344,0.027180257619082455,0.006554938574908443,0.0005596373676308921,0.037312105990241894,0.04739355533261148,0.00809258675604971,0.0017766419309882965,0.0002925322254271333,0.06712235488445013,0.35,0.7,1.35
