event_id,commence_time,home_team,away_team,game_stage,h2h_bookmaker_count,total_line_count,spread_line_count,home_lambda,away_lambda,model_home_win_probability,model_draw_probability,model_away_win_probability,grid_home_win_probability,grid_draw_probability,grid_away_win_probability,other_home_win_probability,other_draw_probability,other_away_win_probability,model_loss,score_0_0_probability,score_0_1_probability,score_0_2_probability,score_0_3_probability,score_0_4_probability,score_1_0_probability,score_1_1_probability,score_1_2_probability,score_1_3_probability,score_1_4_probability,score_2_0_probability,score_2_1_probability,score_2_2_probability,score_2_3_probability,score_2_4_probability,score_3_0_probability,score_3_1_probability,score_3_2_probability,score_3_3_probability,score_3_4_probability,score_4_0_probability,score_4_1_probability,score_4_2_probability,score_4_3_probability,score_4_4_probability,other_probability
5ff7744314f224c18d1604ee9cc19263,2026-07-01T16:00:00Z,England,DR Congo,elimination,22,2,1,2.0911424727396355,0.4960793969398769,0.7485421120503939,0.17599875519283958,0.07545913275676637,0.6872984502675873,0.17599229304585917,0.0753027208284804,0.0612436617828066,6.462146980412697e-06,0.00015641192828597106,0.0008133295472213364,0.0752287453042482,0.03731943060307504,0.009256700313856527,0.0015306861031170384,0.00018983545973463766,0.15731402447662582,0.07804024639254957,0.0193570791837277,0.0032008827226603603,0.0003969729926831557,0.16448301907033744,0.08159663690726328,0.020239205214638633,0.0033467509058067815,0.00041506354276515375,0.11465247574080868,0.05687673102316424,0.014107687212941452,0.002332844321604136,0.000289319001053999,0.05993866540658893,0.0297343369882817,0.007375295980776931,0.0012195774607989724,0.00015125181281865516,0.061406535858072986
658ac8cbf214ca3cc150109b4ddc1e74,2026-07-01T20:00:00Z,Belgium,Senegal,elimination,24,2,3,1.4513982828512664,1.0751822894417973,0.4573809268032497,0.26264412656736924,0.2799749466293811,0.4410656857820726,0.2625904581548858,0.275097120207179,0.016315241021177096,5.3668412483443007e-05,0.004877826422202081,0.019741862236983744,0.07993187478422456,0.08594133612987764,0.04620130126890444,0.016558273624496963,0.004450790636197593,0.11601298580690597,0.1247351076848479,0.06705648932718195,0.024032649905576308,0.006459869886707682,0.08419052419429583,0.09052016055252803,0.04866283673175307,0.01744047340265955,0.004687922030505067,0.04073132741598299,0.04379360186312004,0.02354305255704598,0.008437691049577752,0.0022680139950718922,0.014779344667452607,0.015890489636001114,0.008542586513593414,0.0030616125751466625,0.0008229479044824963,0.02124673585586262
9eeb4876001f5a52ce3c3641bd5f1f2f,2026-07-02T00:00:00Z,USA,Bosnia & Herzegovina,elimination,24,3,3,2.1090093998113497,0.6976121986978909,0.7012460919082787,0.18784274075690452,0.11091116733481697,0.6382563243238316,0.1878126009316368,0.11018232921668028,0.06298976758444708,3.0139825267727627e-05,0.0007288381181366904,0.008144508289213813,0.06040873299341385,0.042141869044089265,0.01469934096054285,0.0034181465222980884,0.0005961351777229798,0.12740258571380383,0.08887759793960319,0.031001048256816863,0.007208903145459144,0.0012572546933759738,0.13434662541534173,0.0937218447436385,0.032690751088816014,0.007601822248051469,0.0013257809831434325,0.09444609861129669,0.0658867505106645,0.022981700444402026,0.005344104858945198,0.0009320281851802106,0.04979692743668359,0.03473894403750417,0.012117155565223137,0.0028176918452732323,0.0004914140508585443,0.0637487455278515
a518ac20df8f5c732b881e213ae0c230,2026-07-02T19:00:00Z,Spain,Austria,elimination,24,2,1,2.128085268566031,0.626568137413217,0.7223644300531118,0.18131780194133465,0.0963177680055537,0.6574375491145875,0.1812984664748092,0.09586735142901413,0.06492688093852428,1.9335466525438605e-05,0.00045041657653956124,0.0001423563310747954,0.06363106999568988,0.039869201008809446,0.012490385508121446,0.0026086925277988976,0.0004086309045566831,0.13541234268092164,0.08484505933634534,0.026580605398543893,0.005551520138627116,0.0008696014082678891,0.14408450582064228,0.09027876044214365,0.028282897389103986,0.005907054112580009,0.0009252929732295849,0.10220803808850847,0.0640403000537759,0.020062805762038952,0.004190238279201302,0.0006563674484791809,0.054376855046297676,0.03407080478474722,0.010673840347074196,0.002229296088437442,0.0003492014744687046,0.06539663298158928
852b4baf0be4b9eef2a30596a8d39249,2026-07-02T23:00:00Z,Portugal,Croatia,elimination,24,4,3,1.5877411993632564,0.8949407994102216,0.5363568742962089,0.2516330819128005,0.2120100437909905,0.513385125284092,0.2515981200992605,0.20976839881971346,0.02297174901211696,3.496181353995764e-05,0.002241644971277046,0.018377920877306126,0.08351892728221703,0.0747444955478315,0.03344594929854503,0.009977381534091213,0.002232291451535093,0.1326064417725999,0.11867491500691556,0.05310351165311456,0.01584149972344279,0.0035443011065886734,0.10527235545166078,0.09421252594370631,0.04215731664125839,0.012576100885305874,0.0028137164449398085,0.055715085301538306,0.04986170297896738,0.02231163616197605,0.006655864500982951,0.0014891511743189497,0.02211528408982264,0.019791870022530033,0.008856275989893114,0.0026419475713974983,0.0005910966678865928,0.025248355796933963
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,Switzerland,Algeria,elimination,24,3,2,1.4381416464377432,0.9823497694455221,0.47593996130770405,0.2664006735178304,0.2576593651744655,0.4601702679662921,0.26636453494046897,0.25430986181181925,0.015769693341411928,3.6138577361455315e-05,0.003349503362646278,0.018190725108699714,0.08887793069926421,0.08730921473121729,0.04288409348084044,0.014042393114594607,0.00344863540964635,0.12781905358781948,0.1255630178227393,0.06167340080452596,0.020194950353749117,0.004959626205992303,0.09191095208645042,0.090288702591643,0.0443475430872179,0.014521599575734621,0.003566322498800774,0.04406032265308945,0.04328264779995773,0.021259349543640105,0.006961372374252208,0.0017096256367177707,0.015841246240723063,0.015561644592304044,0.0076434889887215165,0.0025028598819433227,0.0006146709569953675,0.01915533528141966
fb270a3dac2b682c861bd674a5ff4a04,2026-07-03T18:00:00Z,Australia,Egypt,elimination,24,3,3,0.8926655049836545,1.0956258929750753,0.2931371660745385,0.30737875012260735,0.3994840838028542,0.29088416127569866,0.3073700050637469,0.3941473282985349,0.0022530047988398305,8.74505886044874e-06,0.005336755504319335,0.017215073583671144,0.1369291831710681,0.15002315858614912,0.08218462854644548,0.03001453568000807,0.008221175614160274,0.12223195844240081,0.13392049861854768,0.07336338294330683,0.02679294064964432,0.007338759881173687,0.054556126454063394,0.05977310476349434,0.03274448064119811,0.011958566947505916,0.003275528897640847,0.016233457390356205,0.01778579624938185,0.009743289449000868,0.0035583334010254025,0.0009746505525003732,0.0036227618597482396,0.00396919169762271,0.0021743745990485683,0.0007941003705816364,0.0002175092319075859,0.007598505362019614
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,Argentina,Cape Verde,elimination,24,4,2,2.495915994855846,0.44202557973890644,0.8229299518410518,0.129657854538046,0.047412193620902175,0.7146596312608894,0.12965164424051137,0.047324774375276775,0.1082703205801624,6.210297534642306e-06,8.741924562540027e-05,0.0026295452204105215,0.052974660973429184,0.02341615522825206,0.00517526979501217,0.0007625338771485021,8.426486977928068e-05,0.13222030364564766,0.05844475637222166,0.012917038659065211,0.001903220500594389,0.00021031803628655162,0.16500538535693435,0.07293660112244058,0.016119921697666083,0.0023751392445855424,0.0002624680753871382,0.13727986018324165,0.060681209783973414,0.013411323467009524,0.0019760493435236285,0.00021836608916592936,0.08565974970073176,0.03786380052175557,0.008368384188373656,0.0012330132907812546,0.00013625585367084024,0.10836395012332244
88e032a2b2e5042d26db3f0da1df924a,2026-07-04T01:30:00Z,Colombia,Ghana,elimination,24,4,3,1.7313961714689374,0.6599877071977237,0.632346959063295,0.23000991473071628,0.1376431262059887,0.6007079438747047,0.22999713190897036,0.1370559598790874,0.03163901518859025,1.2782821745910278e-05,0.0005871663269013117,0.0069368595427385035,0.09150296721322122,0.06039083353284236,0.01992860387955002,0.004384211194038626,0.0007233813734560369,0.15842788711101893,0.10456045797058118,0.03450430845977392,0.007590806476269736,0.001252459740513724,0.1371507185989656,0.0905177883086515,0.029870313783217913,0.006571346635687518,0.0010842519998222203,0.07915407636548753,0.05224071737581165,0.01723911564161311,0.0037925348021415504,0.0006257565871332437,0.034261766193841255,0.022612344514817768,0.007461934705349802,0.0016415950591476458,0.0002708581398084916,0.03223896433723747
9c7073ae2c29ee4881bb695f92168c68,2026-07-04T17:00:00Z,Canada,Morocco,elimination,24,4,3,0.8497023048771769,1.5220565718548063,0.20981763711328688,0.25910747746723956,0.5310748854194736,0.20801783468129056,0.2590831656244738,0.5114698581032346,0.0017998024319963168,2.4311842765745162e-05,0.01960502731623892,0.006454905894163747,0.09331644971718052,0.14203291555419317,0.10809106626947924,0.054840239258084754,0.02086748664121446,0.07929120240764347,0.12068569571482338,0.09184522814580817,0.04659787769761045,0.017731151496033624,0.0336869587211287,0.051273456907295525,0.039020551023731684,0.0197971620410222,0.0075331001471530875,0.009541295489881791,0.014522391504383203,0.011051950714147432,0.005607231405427839,0.002133630852635526,0.0020268151923166925,0.003084927383400785,0.002347716998800008,0.0011911193622929316,0.0004532377633103656,0.021429141591000983
